Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-3.432927764E-2	-5.275069579E-3	4.423886690E-3
0.01	-6.516896220E-2	1.008281809E-2	-1.214330059E-3
0.02	-9.573274730E-2	1.302391992E-2	-9.518830758E-4
0.03	-1.177246135E-1	1.172758156E-2	4.876962052E-3
0.04	-1.208446193E-1	1.680998525E-3	8.097272511E-3
0.05	-1.068686084E-1	-2.987980436E-2	4.817925844E-3
0.06	-8.918560779E-2	-6.365796755E-2	-2.695406523E-3
0.07	-7.811507906E-2	-7.563175373E-2	-1.302531982E-3
0.08	-7.398996082E-2	-6.755196296E-2	2.551679450E-3
0.09	-7.746827440E-2	-5.036675222E-2	2.647897864E-3
0.1	-9.231563918E-2	-2.393861110E-2	1.463804084E-3
0.11	-1.161598257E-1	1.549242724E-2	3.672231767E-4
0.12	-1.431470803E-1	6.523167898E-2	-1.164232161E-4
0.13	-1.564761773E-1	1.004830512E-1	8.625776905E-3
0.14	-1.496567246E-1	9.030418619E-2	8.062951842E-3
0.15	-1.310378193E-1	5.744090913E-2	3.806951990E-3
0.16	-1.096860107E-1	2.845097607E-2	2.457488203E-3
0.17	-8.607301654E-2	-1.240734735E-3	-8.349314847E-4
0.18	-7.270105279E-2	-2.725690465E-2	3.598863039E-3
0.19	-6.905458486E-2	-5.589922141E-2	4.568215761E-3
0.2	-7.417598278E-2	-6.190341017E-2	-2.147967795E-3
0.21	-8.632489535E-2	-4.099812973E-2	-4.164488602E-3
0.22	-9.549250758E-2	-1.491393457E-2	-5.857333204E-5
0.23	-9.155854857E-2	-9.132798418E-3	1.759854708E-3
0.24	-7.998039030E-2	-9.699305908E-3	-3.818134094E-3
0.25	-6.123107112E-2	-3.284596129E-3	-8.368163521E-3
0.26	-3.651463205E-2	4.177132500E-3	-1.018316723E-2
0.27	-1.071177252E-2	4.712612635E-3	-1.159125947E-2
0.28	1.118124121E-2	-2.996555969E-3	-1.059675082E-2
0.29	1.986529761E-2	1.230071679E-3	-3.720892515E-3
0.3	1.288843710E-2	3.418330316E-2	-7.487627028E-3
0.31	-8.708643392E-4	6.721087066E-2	-6.670629542E-3
0.32	-7.970073806E-3	7.060484697E-2	-3.934687224E-3
0.33	-6.797210583E-3	5.159405590E-2	-3.900590423E-3
0.34	-2.684390908E-3	3.587695668E-2	-9.991846549E-3
0.35000000000000003	8.190928269E-3	1.026411856E-2	-1.204910000E-2
0.36	1.938166910E-2	-2.091016407E-2	-6.654528227E-3
0.37	3.782897041E-2	-6.404436129E-2	-4.908147339E-3
0.38	4.754551356E-2	-8.574537416E-2	-5.346135251E-3
0.39	4.465749427E-2	-8.047758044E-2	-8.059992682E-3
0.4	2.876275703E-2	-5.522328704E-2	-9.638730763E-3
0.41000000000000003	8.169718100E-3	-1.936274286E-2	-8.160704222E-3
0.42	-8.919518688E-3	1.711627108E-2	-6.250723448E-3
0.43	-1.684877945E-2	3.926843230E-2	-7.468101193E-3
0.44	-1.826092770E-2	5.381613718E-2	-9.759792188E-3
0.45	-1.657699763E-2	5.859621618E-2	-1.078565039E-2
0.46	-8.134290347E-3	5.520745703E-2	-8.251950777E-3
0.47000000000000003	6.251484542E-3	3.566673805E-2	-6.633394804E-3
0.48	1.935159826E-2	7.295447186E-3	-5.395144072E-3
0.49	2.378661597E-2	-8.298467502E-3	-6.958120909E-3
0.5	1.512256427E-2	-3.493511913E-3	-4.826034803E-3
0.51	1.795829811E-3	2.754478209E-3	-1.742154835E-3
0.52	-4.613608492E-4	-1.426789493E-3	-2.736934683E-3
0.53	1.320487235E-3	-6.598967638E-3	-4.077048714E-3
0.54	8.089657216E-3	-1.422459672E-2	-8.488081541E-3
0.55	2.232692265E-2	-2.240874241E-2	-7.196138945E-3
0.56	4.237748587E-2	-3.287162583E-2	-6.091840899E-4
0.5700000000000001	6.404776688E-2	-3.866593688E-2	7.081768306E-4
0.58	8.141773307E-2	-3.589422773E-2	-1.119268980E-3
0.59	8.932836497E-2	-2.132062684E-2	-1.796167937E-3
0.6	9.179471202E-2	3.123411502E-3	4.664166995E-5
0.61	9.126651885E-2	3.051704650E-2	1.820535498E-3
0.62	8.818325364E-2	5.608542358E-2	-1.192241313E-3
0.63	9.051957095E-2	6.091109874E-2	-2.947624267E-3
0.64	9.647936785E-2	5.905138363E-2	-3.940409270E-3
0.65	1.086802241E-1	5.209191848E-2	2.667249773E-4
0.66	1.246457096E-1	1.818523404E-2	4.851037416E-3
0.67	1.375349124E-1	-1.585996073E-2	1.371185799E-3
0.68	1.408680412E-1	-3.607335788E-2	9.606615762E-4
0.6900000000000001	1.382067769E-1	-3.817719418E-2	3.198730730E-3
0.7000000000000001	1.350155893E-1	-3.901217311E-2	-5.436602307E-2
0.71	1.141135236E-1	-3.622022162E-2	-4.065904483E-2
0.72	9.929992878E-2	-3.272985886E-2	4.661828432E-3
0.73	8.943587446E-2	-7.885823332E-3	1.272216382E-2
0.74	7.888696584E-2	1.759757396E-2	1.156357071E-2
0.75	7.972652126E-2	1.697489114E-2	8.745705571E-3
0.76	8.611831441E-2	1.182641832E-3	4.025367274E-3
0.77	8.278894389E-2	7.487424911E-4	4.804593477E-3
0.78	8.414406025E-2	1.030294766E-2	1.519598100E-4
0.79	7.562541885E-2	2.660594672E-2	1.303665465E-3
0.8	6.724767756E-2	2.199363559E-2	7.195473664E-3
0.81	6.278050506E-2	1.469544579E-2	5.024415407E-3
0.8200000000000001	5.066595667E-2	2.865913924E-2	2.771389269E-3
0.8300000000000001	4.725810021E-2	2.600890108E-2	8.797046654E-4
0.84	4.841271570E-2	1.492408743E-2	7.297607533E-4
0.85	5.399582878E-2	-2.741376512E-3	1.365412475E-3
0.86	6.641104894E-2	-2.334390277E-2	2.314967446E-3
0.87	7.875389469E-2	-4.017028746E-2	7.179900539E-4
0.88	8.367565721E-2	-4.644250096E-2	-2.318080462E-3
