Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	3.567085090E-6	1.277861518E-4	1.384109201E-3
0.01	-1.257432869E-5	1.277121589E-4	1.376931885E-3
0.02	-8.223787477E-4	1.176366395E-4	4.139596631E-4
0.03	1.031232011E-4	9.025266419E-5	3.823589691E-4
0.04	1.022131817E-4	-6.357466151E-4	-4.888757076E-4
0.05	6.797679055E-4	8.268733087E-4	2.327710094E-3
0.06	-2.230701839E-4	-7.104821057E-4	1.428060712E-3
0.07	-7.491639006E-4	1.524642536E-4	2.374109196E-3
0.08	1.111930240E-4	-4.417651004E-4	2.374109196E-3
0.09	-1.808259757E-5	3.979247012E-4	2.374109196E-3
0.1	-1.214707725E-3	9.332685870E-4	2.446918897E-3
0.11	-1.915312807E-4	6.122643309E-4	3.354109208E-3
0.12	-1.319783240E-4	3.718582302E-4	3.354109208E-3
0.13	-3.239857184E-5	-3.369501770E-4	3.448669295E-3
0.14	3.894178530E-4	-5.676757963E-4	4.232298961E-3
0.15	-3.965273632E-4	1.709987752E-4	3.354109208E-3
0.16	-7.648522677E-4	-4.232213725E-4	3.237780491E-3
0.17	6.104229334E-5	-2.670651001E-4	2.374109196E-3
0.18	4.356708408E-5	-1.635502223E-4	2.505074139E-3
0.19	1.803717509E-4	-3.681954218E-5	3.492324220E-3
0.2	5.786559042E-4	6.423209734E-4	4.334109126E-3
0.21	-1.762159291E-3	-4.105690516E-5	4.334109126E-3
0.22	-6.080842334E-4	6.194280791E-4	4.494099727E-3
0.23	1.021859220E-3	-1.939216961E-4	5.314109111E-3
0.24	1.011785257E-3	-2.039956788E-4	5.314109111E-3
0.25	1.181725487E-3	-2.122138294E-4	5.314109111E-3
0.26	1.772517153E-3	-2.141436276E-4	5.312179314E-3
0.27	5.828303364E-4	-2.242176151E-4	5.304109111E-3
0.28	-7.769680595E-4	-2.322138420E-4	5.509807205E-3
0.29	3.989182264E-4	-2.343659219E-4	6.081053288E-3
