Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-9.142505432E-4	-8.141803369E-4	-2.858327016E-3
0.01	1.977229664E-4	-9.085246679E-4	-2.311652419E-3
0.02	-3.015577615E-4	-7.371832660E-4	-2.461079166E-3
0.03	1.634983556E-4	6.562582559E-4	-2.653940641E-3
0.04	1.388740153E-4	1.288832334E-4	-2.983191691E-3
0.05	-2.383857349E-4	-5.067083986E-4	-3.232675233E-3
0.06	2.484390553E-4	2.336987404E-4	-2.860378203E-3
0.07	2.686397137E-4	6.117170422E-4	-3.199631372E-3
0.08	-3.614736977E-4	5.047652362E-4	-3.397898721E-3
0.09	-3.823158615E-4	7.086912363E-4	-2.744956405E-3
0.1	4.074577979E-5	9.171156322E-4	-2.639176806E-3
0.11	-5.435491942E-4	1.294074870E-3	-2.575992652E-3
0.12	9.186616020E-5	1.807804283E-4	-2.666476118E-3
0.13	-2.815333950E-4	-7.519123234E-5	-1.911887348E-3
0.14	-1.100224122E-3	-1.523325857E-4	-3.108049422E-3
0.15	5.141641882E-4	6.308324257E-4	-1.621032086E-3
0.16	5.404941919E-4	1.139482054E-3	-2.260139667E-3
0.17	-3.063517353E-4	8.487225296E-4	-2.594805550E-3
0.18	-5.904126514E-4	1.431844741E-3	-2.393921126E-3
0.19	-6.259295240E-4	1.085671199E-3	-2.328744908E-3
0.2	-6.872414032E-5	7.865743778E-4	-2.756115707E-3
0.21	9.860957338E-4	1.114279850E-3	-3.195981456E-3
0.22	5.915377086E-4	1.233870589E-3	-2.671112854E-3
0.23	-2.658959600E-4	1.547699993E-3	-2.042930104E-3
0.24	-4.525520462E-5	2.251176508E-3	-2.257769960E-3
0.25	3.812680438E-4	2.489204605E-3	-2.558537588E-3
0.26	-1.121381770E-4	1.702070300E-3	-1.945217942E-3
0.27	-8.923331520E-4	2.729900927E-3	-3.209642554E-3
0.28	7.017249400E-4	2.560590983E-3	-2.804928127E-3
0.29	1.886716093E-4	3.147105139E-3	-2.298381185E-3
0.3	-3.032500351E-4	1.621201653E-3	-3.252862081E-3
0.31	8.219136409E-5	1.723609667E-3	-2.848075559E-3
0.32	-5.494061094E-4	2.515918037E-3	-2.194951891E-3
0.33	-1.199435244E-3	1.998590660E-3	-2.168355560E-3
0.34	-9.583272894E-4	1.044538528E-3	-2.819812738E-3
0.35000000000000003	-2.860994269E-4	9.970602109E-4	-2.976096249E-3
0.36	1.835804861E-4	1.222696027E-3	-2.826747323E-3
0.37	3.920926156E-4	8.214945526E-4	-2.736556207E-3
0.38	3.732467089E-4	5.297563218E-4	-2.303314077E-3
0.39	4.734072805E-5	3.271186060E-4	-2.187330202E-3
0.4	-3.470084387E-4	-2.023289686E-4	-2.590018290E-3
0.41000000000000003	-8.822560254E-5	-1.281447110E-4	-3.547401859E-3
0.42	9.754409138E-4	2.776246186E-4	-3.516057010E-3
0.43	1.068148533E-3	-8.821756393E-4	-2.571938619E-3
0.44	-1.082418508E-3	-1.086185229E-3	-3.122708458E-3
0.45	-5.882132353E-4	-1.559011490E-4	-2.965450912E-3
0.46	-4.500611226E-4	-8.913884669E-4	-2.212810727E-3
0.47000000000000003	5.690868139E-4	-1.484921011E-3	-2.098233911E-3
0.48	3.446387584E-4	-8.017416144E-4	-1.570055234E-3
0.49	-3.127788651E-5	-5.247971326E-4	-1.554903743E-3
0.5	-6.998962333E-4	-8.194223232E-4	-1.638353842E-3
0.51	-4.436810014E-4	-1.379278745E-3	-2.144579536E-3
0.52	4.786356209E-4	-1.634126550E-3	-2.895326163E-3
0.53	-3.627304445E-5	-9.361034352E-4	-2.583609850E-3
0.54	2.848363909E-4	-3.199058046E-4	-2.365226801E-3
0.55	9.784879475E-4	-1.465332383E-3	-2.964298905E-3
0.56	-9.594167736E-5	-1.746993568E-3	-1.745930479E-3
0.5700000000000001	-2.197027875E-4	-1.295892122E-3	-1.209162759E-3
0.58	-1.548091377E-4	-1.078500114E-3	-2.354500875E-3
0.59	4.531874357E-4	-1.679239757E-3	-2.744030615E-3
0.6	5.931669936E-5	-1.014270533E-3	-3.152926628E-3
0.61	-8.332220429E-6	-1.113734805E-3	-2.028676683E-3
0.62	3.994950297E-4	-1.472278908E-3	-2.253695956E-3
0.63	3.040410671E-4	-1.740786822E-3	-2.263822589E-3
0.64	-5.632714114E-4	-2.204741539E-3	-2.421797605E-3
0.65	-4.641820098E-4	-2.426412043E-3	-2.317646564E-3
0.66	-1.598881316E-5	-2.315305481E-3	-2.048060624E-3
0.67	6.410338300E-5	-1.512432187E-3	-1.904118667E-3
0.68	-6.389411309E-5	-4.228605782E-4	-1.882413328E-3
0.6900000000000001	-6.903186316E-4	-1.558335972E-3	-2.974287655E-3
0.7000000000000001	-5.367352782E-4	-1.651359018E-3	-1.776865690E-3
0.71	-2.883293160E-4	-1.507541722E-3	-2.063277617E-3
0.72	-2.345471163E-5	-1.194263777E-3	-2.343183085E-3
0.73	-7.868783975E-4	-6.417978369E-4	-1.341317281E-3
0.74	4.178258596E-4	-4.789127097E-4	-1.859887279E-3
0.75	1.327843430E-3	-5.013714075E-4	-1.727314507E-3
0.76	9.021043654E-4	4.228595471E-5	-1.797203145E-3
0.77	3.012398474E-5	4.017759045E-4	-2.287192052E-3
0.78	-1.014036026E-3	2.520566917E-5	-1.763327906E-3
0.79	-8.773358058E-4	2.890533648E-5	-1.302214722E-3
0.8	-5.057648216E-4	3.442855886E-5	-1.056021978E-3
0.81	-4.930861420E-4	1.935091191E-4	-1.435733941E-3
0.8200000000000001	-4.646264961E-4	4.047107630E-4	-2.170495197E-3
0.8300000000000001	-4.500739305E-4	8.108153691E-5	-1.683884147E-3
0.84	-5.401551092E-4	6.910053155E-4	-1.627485230E-3
0.85	-6.855341374E-4	-2.034771373E-4	-2.771856004E-3
0.86	1.427566153E-3	6.258623679E-4	-2.056390566E-3
0.87	-8.053047205E-5	1.424740080E-3	-1.418876170E-3
0.88	4.055775158E-5	-1.380577497E-4	-1.644967183E-3
0.89	-8.343453113E-4	6.384687093E-4	-8.732951979E-4
0.9	-9.393527665E-4	5.774675822E-4	-1.152672632E-3
0.91	3.550731605E-4	1.424537239E-3	-2.024764882E-3
0.92	6.977790215E-4	1.486608286E-3	-1.728230275E-3
0.93	8.822907290E-4	1.680288651E-3	-1.525686940E-3
0.9400000000000001	7.212463865E-4	1.659667176E-3	-1.990808918E-3
0.9500000000000001	-1.285993897E-4	1.426518756E-3	-2.559800698E-3
0.96	9.254214388E-5	1.417560733E-3	-2.761166332E-3
0.97	2.210602120E-4	8.435983113E-4	-2.679098330E-3
0.98	-4.225830129E-4	1.667948680E-3	-2.487845047E-3
0.99	4.588783493E-4	2.465611489E-3	-9.819144823E-4
1.0	1.364247070E-3	1.429208593E-3	-1.069002480E-3
1.01	1.223292718E-3	2.245609481E-3	-1.737855062E-3
1.02	-3.060023324E-5	2.593151389E-3	-1.546743790E-3
1.03	2.965685216E-4	1.629898917E-3	-1.804186317E-3
1.04	2.032262294E-4	2.090929363E-3	-1.827550707E-3
1.05	-1.226570846E-4	1.085172132E-3	-1.946376445E-3
1.06	1.787236827E-4	1.667121423E-3	-2.147247480E-3
1.07	-1.921862095E-4	1.700432499E-3	-1.913417117E-3
