Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-3.487027168E-3	-1.238595145E-1	-1.111453723E-4
0.01	-8.775248754E-5	9.611925774E-3	-2.898395563E-3
0.02	-9.638283526E-3	6.008491236E-3	-3.841849297E-3
0.03	-1.400377570E-2	2.138556907E-2	-1.846091494E-3
0.04	-2.564079362E-2	3.029805745E-2	1.134009990E-4
0.05	6.477271464E-3	4.009828455E-2	-7.490061202E-4
0.06	-8.170840513E-3	2.372889538E-2	-1.378935433E-3
0.07	-1.800671323E-2	1.256428037E-2	5.521047902E-4
0.08	-2.524098467E-5	6.193121011E-3	-2.388365191E-4
0.09	4.712778870E-3	2.362414243E-2	8.229358279E-4
0.1	1.190028668E-2	3.738367413E-2	1.972285813E-3
0.11	2.578585105E-2	5.229202854E-2	3.719128197E-3
0.12	1.428885924E-2	6.220177311E-2	7.690093016E-3
0.13	-1.083823054E-2	6.059980201E-2	1.051841191E-2
0.14	-2.775030399E-2	4.667469244E-2	1.301534266E-2
0.15	-3.968532490E-2	4.026566799E-2	1.397724211E-2
0.16	-4.502772627E-2	3.889488995E-2	1.702188595E-2
0.17	-2.140474486E-2	4.162930302E-2	1.665559125E-2
0.18	-1.102899169E-2	3.171282416E-2	1.718369006E-2
0.19	-1.933920337E-2	9.128421949E-3	1.796012875E-2
0.2	-8.196636916E-3	-1.648233249E-2	1.737221287E-2
0.21	-7.992103240E-3	-3.351472619E-2	1.713874838E-2
0.22	-3.766140057E-3	-2.900720401E-2	1.544579532E-2
0.23	1.588297042E-2	-6.571176217E-3	1.537032241E-2
0.24	2.266344254E-2	1.959423392E-2	1.550512736E-2
0.25	7.563901539E-3	3.634127840E-2	1.633184475E-2
0.26	-1.344349514E-3	4.677117632E-2	1.603184137E-2
0.27	-1.938575224E-2	4.931395829E-2	1.476528071E-2
0.28	-3.609508783E-2	5.317600721E-2	1.625270437E-2
0.29	-2.409665938E-2	5.752973295E-2	1.807863067E-2
0.3	-5.039599660E-3	6.059378671E-2	1.621148312E-2
0.31	-2.502229510E-3	4.474180353E-2	1.444596435E-2
0.32	8.426605584E-3	1.055775971E-2	1.306132881E-2
0.33	6.091273968E-3	-3.703720954E-2	1.202698894E-2
0.34	-5.815939130E-5	-8.093642637E-2	1.087345195E-2
0.35000000000000003	8.025737880E-3	-1.156719058E-1	9.832369049E-3
0.36	1.523894744E-2	-1.374283187E-1	9.646386129E-3
0.37	1.271722978E-2	-1.564344767E-1	1.032578123E-2
0.38	9.070720005E-3	-1.790420931E-1	1.104601786E-2
0.39	-4.872192313E-3	-2.037583752E-1	1.022122643E-2
0.4	-2.287777424E-2	-2.203093095E-1	9.600728853E-3
0.41000000000000003	-1.938622532E-2	-1.781675920E-1	7.069979944E-3
0.42	-2.316777126E-3	-8.223904821E-2	1.490001839E-3
0.43	5.367473877E-3	-1.088825052E-1	2.455775374E-3
0.44	1.706683862E-2	-1.275000070E-1	3.931058349E-3
0.45	1.968296603E-2	-1.435695807E-1	5.853197074E-3
0.46	9.749093978E-3	-1.556699147E-1	6.524753860E-3
0.47000000000000003	9.314376630E-3	-1.616156777E-1	6.902502830E-3
0.48	8.996796060E-3	-1.626266688E-1	8.671174341E-3
0.49	8.742978897E-3	-1.591622397E-1	8.468860560E-3
0.5	8.580708646E-3	-1.627377062E-1	8.299169107E-3
0.51	3.697388157E-3	-1.766481593E-1	8.570631314E-3
0.52	-9.552389781E-3	-1.990867454E-1	1.054234222E-2
0.53	-1.756793570E-2	-2.204090245E-1	1.275624905E-2
0.54	-1.427200301E-2	-2.248362155E-1	1.303762491E-2
0.55	-5.907538899E-3	-2.152432366E-1	1.242031190E-2
0.56	8.537919253E-3	-2.066896680E-1	1.060145440E-2
0.5700000000000001	1.902194710E-2	-1.964764340E-1	1.009199647E-2
0.58	1.475360487E-2	-1.920318168E-1	8.999603465E-3
0.59	9.366713791E-3	-1.884546371E-1	8.764209104E-3
0.6	5.359747302E-3	-1.794362962E-1	9.214324023E-3
0.61	2.942294204E-3	-1.643067317E-1	8.674465722E-3
0.62	5.607637827E-3	-1.469634897E-1	7.601150798E-3
0.63	7.668726983E-3	-1.366611756E-1	6.996129539E-3
0.64	5.331573324E-4	-1.398902019E-1	6.930356132E-3
0.65	-9.558302219E-3	-1.532343103E-1	5.933955857E-3
0.66	-1.164712949E-2	-1.653488519E-1	4.399210103E-3
0.67	-8.290028890E-3	-1.581092891E-1	3.853992050E-3
0.68	1.415442052E-3	-1.413557409E-1	2.340156081E-3
0.6900000000000001	1.303770720E-2	-1.278045310E-1	1.877492492E-3
0.7000000000000001	1.415666143E-2	-9.811906891E-2	2.537925869E-3
0.71	8.405447769E-3	-6.902393925E-2	1.167590253E-3
0.72	1.805023895E-3	-4.634238050E-2	1.414469621E-4
0.73	-5.782969018E-3	-1.177833013E-2	7.634700479E-5
0.74	-7.500330228E-3	3.321809522E-2	2.688336254E-5
0.75	-4.313557131E-3	7.981132754E-2	-7.845159254E-6
0.76	-5.032305752E-3	1.198563770E-1	3.284329603E-3
0.77	-7.695801078E-3	1.446422407E-1	2.461047241E-3
0.78	-1.008226698E-2	1.524720423E-1	-1.217444762E-3
0.79	-1.231243407E-2	1.521253958E-1	-4.935924513E-3
0.8	-8.045902175E-3	1.392101565E-1	4.084203679E-3
0.81	3.036603865E-3	1.284834793E-1	-1.908835036E-3
0.8200000000000001	8.691135624E-3	1.205006813E-1	-6.129776605E-3
0.8300000000000001	7.516745917E-3	9.624177417E-2	-2.303432946E-3
0.84	3.660002275E-3	7.469229447E-2	1.186521473E-3
0.85	-7.215904523E-3	6.337803238E-2	2.359044711E-3
0.86	-1.366125368E-2	6.233680231E-2	5.080900439E-3
0.87	-1.099354466E-2	7.589282462E-2	6.832396441E-3
0.88	-7.148934960E-3	9.842142220E-2	6.822321904E-3
0.89	-4.666485733E-3	1.218995152E-1	8.761114552E-3
0.9	-3.873543742E-3	1.400283570E-1	7.794843648E-3
0.91	-6.410411078E-3	1.541399123E-1	8.149449196E-3
0.92	-8.247914543E-3	1.639508892E-1	8.795682482E-3
0.93	-2.473753262E-3	1.654751363E-1	9.040432958E-3
0.9400000000000001	3.047859213E-3	1.751555155E-1	8.430189235E-3
0.9500000000000001	7.055040230E-3	1.829630098E-1	8.097702185E-3
0.96	6.847786437E-3	1.797234008E-1	7.383448068E-3
0.97	-1.446756227E-3	1.671704527E-1	6.407678467E-3
0.98	-1.013780910E-2	1.506115012E-1	5.433302608E-3
0.99	-1.436880259E-2	1.376048206E-1	6.616580956E-3
1.0	-1.287777779E-2	1.304111800E-1	7.153700771E-3
1.01	-6.894757978E-3	1.261344648E-1	6.446728096E-3
1.02	-6.675171858E-4	1.207993870E-1	6.231566803E-3
1.03	6.582945517E-4	9.970407145E-2	5.222041776E-3
1.04	-2.341195236E-3	8.560480748E-2	4.823943235E-3
1.05	-2.414330959E-3	7.762719290E-2	3.216841026E-3
1.06	5.433032557E-4	5.999683712E-2	3.351115094E-3
1.07	2.950940354E-3	5.415725230E-2	2.547787280E-3
1.08	7.383298228E-3	4.836723450E-2	2.170587406E-3
1.09	5.274247563E-3	2.952228142E-2	6.744441308E-4
1.1	-3.254264702E-3	3.084668183E-3	2.598626155E-3
1.11	-8.063557684E-3	-2.660420426E-2	1.395220105E-3
1.12	-1.019667156E-2	-5.548732156E-2	1.394052915E-4
1.1300000000000001	-6.252744962E-3	-7.775152877E-2	-9.302641173E-4
1.1400000000000001	2.940494626E-3	-1.030095433E-1	-1.160380485E-3
1.1500000000000001	7.868886043E-3	-1.274506038E-1	1.287258406E-3
1.16	7.049525152E-3	-1.240456005E-1	1.838006033E-3
1.17	6.275875282E-3	-1.480873156E-1	2.761999172E-3
1.18	2.137987811E-3	-1.632850045E-1	3.800935131E-3
1.19	6.179435641E-4	-1.410618135E-1	2.957329197E-3
1.2	4.198463629E-3	-1.310151608E-1	4.547988508E-3
1.21	5.694836287E-3	-1.198496743E-1	4.776817500E-3
1.22	4.092415359E-3	-8.463964991E-2	4.869409988E-3
1.23	-2.048619999E-3	-7.768419692E-2	6.576949560E-3
1.24	-5.976314229E-3	-7.223315287E-2	7.622392698E-3
1.25	-8.781231178E-3	-7.345946848E-2	9.517245454E-3
1.26	-3.029481297E-3	-5.936590250E-2	9.705611594E-3
1.27	7.592361867E-3	-6.894712858E-2	8.747305086E-3
1.28	7.310375135E-3	-8.989320035E-2	7.748252969E-3
1.29	7.090622131E-3	-1.002376924E-1	7.823329231E-3
