Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	1.612591902E-3	9.944768236E-4	-3.850009012E-3
0.01	6.760488845E-4	-7.310336750E-4	-5.193366452E-3
0.02	3.522956366E-4	-3.039552437E-4	-4.781449296E-3
0.03	-2.618752810E-4	-5.665856823E-4	-4.516895454E-3
0.04	-1.034993326E-3	1.047484768E-3	-3.671328466E-3
0.05	-8.090188563E-4	1.600942197E-3	-2.718752768E-3
0.06	4.049369321E-4	1.509378904E-3	-2.590208394E-3
0.07	1.158842752E-3	1.296912058E-3	-3.248774576E-3
0.08	1.702422211E-3	4.951416687E-4	-3.629538584E-3
0.09	2.746135449E-3	2.532879994E-4	-3.665731713E-3
0.1	2.648947873E-3	2.919166321E-4	-3.859962223E-3
0.11	2.384508111E-3	1.753049805E-4	-3.496934725E-3
0.12	1.415304849E-3	1.157465704E-3	-3.785369255E-3
0.13	9.968029059E-4	1.403406037E-3	-3.741766977E-3
0.14	1.011168370E-3	2.365875019E-3	-4.306819010E-3
0.15	1.827740766E-4	1.436925082E-3	-5.298926401E-3
0.16	-2.476569944E-4	-6.140103856E-4	-4.627247681E-3
0.17	-7.730245593E-4	1.150202626E-3	-3.773219718E-3
0.18	-8.520633455E-5	1.782003516E-3	-3.200872864E-3
0.19	1.155175445E-3	1.671048078E-3	-3.373991531E-3
0.2	1.445977116E-3	1.362799180E-3	-3.355391874E-3
0.21	2.096684828E-3	4.303872457E-4	-3.461064873E-3
0.22	3.057037865E-3	-3.156075544E-4	-4.070798654E-3
0.23	2.032322283E-3	4.931753993E-4	-4.266016579E-3
0.24	1.917709330E-3	1.203027107E-3	-3.646241148E-3
0.25	2.109598337E-3	2.880845011E-3	-3.714004463E-3
0.26	6.688675629E-4	2.259584095E-3	-3.253261288E-3
0.27	1.027781796E-3	1.269143107E-3	-3.822632795E-3
0.28	1.299430440E-3	4.687097655E-4	-3.597361612E-3
0.29	1.136816303E-3	-7.550145327E-4	-3.201643991E-3
0.3	1.441919776E-3	-5.647342722E-4	-2.741902946E-3
0.31	7.747717172E-4	1.580540742E-3	-3.002494799E-3
0.32	1.251220799E-4	2.845481633E-3	-3.723017740E-3
0.33	1.071694056E-3	3.312829657E-3	-3.486678171E-3
0.34	8.340941258E-4	2.053941613E-3	-2.740383174E-3
0.35000000000000003	5.369559484E-4	-7.590779982E-5	-2.714784995E-3
0.36	9.242204932E-4	-8.611810410E-4	-2.885588324E-3
0.37	9.221242899E-4	-7.258821249E-5	-2.706169712E-3
0.38	9.512175716E-4	8.839601264E-4	-2.668597269E-3
0.39	1.058080756E-3	2.761096183E-3	-3.323125815E-3
0.4	1.039656494E-3	2.717469260E-3	-3.124883090E-3
0.41000000000000003	1.504373709E-3	2.578480317E-3	-3.636481333E-3
0.42	3.541992701E-4	-7.908348134E-5	-2.884699869E-3
0.43	6.730023189E-4	-1.915276184E-3	-3.382288508E-3
0.44	2.707695707E-4	-1.554869359E-3	-3.456873154E-3
0.45	5.110676683E-4	6.594797769E-4	-2.539107370E-3
0.46	1.866569082E-3	3.412428646E-3	-2.594286966E-3
0.47000000000000003	2.695370128E-3	4.340977625E-3	-2.658018447E-3
0.48	1.822166009E-3	2.970506963E-3	-2.731399262E-3
0.49	1.278746741E-3	4.390300836E-4	-3.253334269E-3
0.5	1.991307223E-3	-1.303330815E-3	-2.814219117E-3
0.51	2.067681859E-3	-1.265458392E-3	-2.080218363E-3
0.52	6.872804559E-4	6.297918023E-4	-2.216212320E-3
0.53	1.639805678E-4	3.107827281E-3	-2.219300680E-3
0.54	6.913921672E-4	4.410672477E-3	-2.393763775E-3
0.55	1.597658993E-3	3.845395399E-3	-3.164662887E-3
0.56	1.320527397E-3	1.672722610E-3	-3.610651783E-3
0.5700000000000001	1.535019437E-3	-1.342264415E-3	-2.580096292E-3
0.58	1.669094870E-3	-2.607360544E-3	-2.625109720E-3
0.59	1.656644950E-3	-5.215321123E-4	-1.806284952E-3
0.6	1.795707851E-3	2.884080249E-3	-3.527120180E-3
0.61	2.604185933E-3	4.478318692E-3	-2.450902415E-3
0.62	2.148489961E-3	3.487910384E-3	-1.115395155E-3
0.63	2.060387906E-3	9.922966341E-4	-1.916175286E-3
0.64	1.213047365E-3	-1.063387731E-3	-2.423464823E-3
0.65	7.872626282E-4	-2.185406435E-3	-2.196814585E-3
0.66	7.700616547E-4	-5.330392914E-4	-2.445202552E-3
0.67	4.476479122E-4	2.328506366E-3	-1.966812724E-3
0.68	8.316992320E-4	4.240439756E-3	-1.457125711E-3
0.6900000000000001	1.868867288E-3	3.795692696E-3	-1.721083689E-3
0.7000000000000001	1.827579217E-3	1.188089473E-3	-1.772791823E-3
0.71	1.710948700E-3	-1.487819243E-3	-2.188514585E-3
0.72	2.096022196E-3	-2.871471302E-3	-2.332032447E-3
0.73	1.990353221E-3	1.389278451E-4	-2.021485802E-3
0.74	1.079163859E-3	1.770198120E-3	-1.882006693E-3
0.75	1.858715872E-3	3.987228645E-3	-3.612544107E-3
0.76	9.728612102E-4	3.104246928E-3	-2.113749552E-3
0.77	2.652507994E-4	1.925526727E-3	-2.087278062E-3
0.78	7.144504041E-4	4.272682099E-4	-1.549324670E-3
0.79	3.076920988E-4	-5.338710875E-4	-1.591107463E-3
0.8	9.766546381E-4	1.089467571E-3	-1.479932523E-3
0.81	1.256143162E-3	3.536544068E-3	-1.823737192E-3
0.8200000000000001	2.884583334E-3	4.052734001E-3	-1.706492471E-3
0.8300000000000001	2.736178200E-3	3.161835365E-3	-1.643478002E-3
0.84	2.359490211E-3	1.024896427E-3	-1.342648831E-3
0.85	2.511662254E-3	-9.670450925E-4	-1.231162119E-3
0.86	1.552640805E-3	-9.969247333E-4	-1.889807749E-3
0.87	5.331866072E-4	-3.978030600E-5	-2.201380280E-3
0.88	-7.903058694E-5	1.270735973E-3	-2.373584909E-3
0.89	-1.261072305E-5	1.905182226E-3	-2.385294908E-3
0.9	3.130320272E-4	6.452546081E-4	-1.948534867E-3
