Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	2.583385739E-5	-1.181260133E-3	4.673775759E-3
0.01	-8.325038890E-4	-1.181335688E-3	3.701180123E-3
0.02	-6.117735806E-4	-1.191260133E-3	4.659121313E-3
0.03	-4.510369056E-4	-1.191260133E-3	3.693775747E-3
0.04	-2.942307215E-4	-1.191260133E-3	3.752094286E-3
0.05	3.256166589E-4	-1.191260133E-3	5.544098511E-3
0.06	-4.175094407E-4	-1.191260133E-3	2.757585136E-3
0.07	3.960526126E-4	-1.191260133E-3	3.693254735E-3
0.08	9.690386444E-4	-1.191260133E-3	3.683775764E-3
0.09	1.173941946E-3	-1.191260133E-3	3.683775764E-3
0.1	-1.006898708E-3	-1.191260133E-3	3.830138099E-3
0.11	-7.439754155E-5	-1.190443068E-3	5.733030980E-3
0.12	-4.034562166E-4	-1.182152625E-3	6.449739872E-3
0.13	-2.274795296E-4	-1.191260133E-3	4.768490054E-3
0.14	3.198807837E-4	-1.190219680E-3	5.653775677E-3
0.15	-3.820867939E-4	-1.181260133E-3	5.654890109E-3
0.16	-7.629777087E-4	-1.131346727E-3	5.780240279E-3
0.17	-5.622517831E-4	-8.584799183E-4	6.520041403E-3
0.18	1.025396228E-3	-1.531260121E-3	5.793556860E-3
0.19	2.704421830E-3	-1.534083985E-3	6.633775663E-3
0.2	2.985586612E-3	-1.552746043E-3	6.489642189E-3
0.21	4.338534827E-3	-1.562820010E-3	5.663775660E-3
0.22	2.353960701E-3	-1.571260123E-3	5.663775660E-3
0.23	8.715217700E-4	-1.572968243E-3	5.829463584E-3
0.24	1.672267020E-3	-1.581260106E-3	6.633775663E-3
0.25	1.473809632E-3	-1.583117502E-3	6.997824117E-3
0.26	3.011479647E-4	-1.589328759E-3	8.215226990E-3
0.27	-1.264166110E-3	-1.583265464E-3	6.633775663E-3
0.28	-1.060391562E-3	-1.591260136E-3	6.633775663E-3
0.29	1.314233253E-4	-1.591260136E-3	6.633775663E-3
0.3	1.641378560E-3	-1.593487776E-3	6.633775663E-3
0.31	1.621228041E-3	-1.601260119E-3	6.859454818E-3
0.32	1.598703287E-3	-1.598883293E-3	7.380846307E-3
0.33	1.570932203E-3	-1.593710942E-3	6.873955055E-3
0.34	1.800738614E-3	-1.603784906E-3	7.613775607E-3
0.35000000000000003	2.013875808E-3	-1.364376783E-3	7.359095979E-3
0.36	5.558338251E-4	-9.205171581E-4	6.895705432E-3
0.37	2.893587657E-4	-1.634007288E-3	7.882997853E-3
0.38	-6.851057889E-4	-1.641260144E-3	8.317191360E-3
0.39	-1.090331725E-3	-1.638363866E-3	7.329941229E-3
0.4	-3.941661444E-4	-1.634230373E-3	7.507029130E-3
0.41000000000000003	-3.941661444E-4	-1.644304369E-3	8.977106363E-3
0.42	-9.481783858E-5	-1.651260127E-3	7.919360340E-3
0.43	1.178734785E-3	-1.654452314E-3	8.280940750E-3
0.44	2.482567078E-3	-1.661260110E-3	7.933910952E-3
0.45	2.469150332E-3	-1.664601848E-3	8.593775619E-3
0.46	2.449002404E-3	-1.674675842E-3	8.593775619E-3
0.47000000000000003	2.432344161E-3	-1.681260122E-3	9.277754785E-3
0.48	1.723790765E-3	-1.684823787E-3	9.855296210E-3
0.49	1.029816971E-4	-1.342045609E-3	8.950265439E-3
0.5	-8.741944351E-4	-1.091288461E-3	9.937515582E-3
0.51	-1.113117683E-3	-1.337784113E-3	1.055377564E-2
0.52	-1.334940504E-4	-1.115793390E-3	9.796986775E-3
0.53	4.558338553E-4	-1.711260118E-3	8.208131056E-3
0.54	8.407102436E-4	-1.715269240E-3	8.006670278E-3
0.55	2.203873980E-3	-1.721260101E-3	8.593775619E-3
0.56	2.925967521E-3	-1.717103017E-3	8.186380711E-3
0.5700000000000001	1.912660034E-3	-1.711260118E-3	8.443196272E-3
0.58	1.327220572E-3	-1.711260118E-3	9.151726221E-3
0.59	3.669646923E-5	-1.711260118E-3	8.164476098E-3
0.6	-1.167616519E-3	-1.711260118E-3	8.486874897E-3
0.61	-6.196375650E-4	-1.715788679E-3	9.573775630E-3
0.62	-1.060613417E-3	-1.725862664E-3	9.573775630E-3
0.63	-6.769191745E-4	-1.282313203E-3	9.115475636E-3
0.64	-1.050383188E-4	-1.236883541E-3	8.593775619E-3
0.65	-6.141661432E-4	-1.756086177E-3	8.120821127E-3
0.66	1.287052021E-3	-1.290855629E-3	8.574184824E-3
0.67	2.763456953E-3	-1.283740823E-3	9.086320903E-3
0.68	2.240689778E-3	-1.286651299E-3	8.593775619E-3
0.6900000000000001	2.210467887E-3	-1.308093103E-3	9.095730581E-3
0.7000000000000001	2.180245899E-3	-1.776064153E-3	9.064570548E-3
0.71	1.638755720E-3	-1.771260109E-3	8.077239089E-3
0.72	1.149797320E-3	-1.258091566E-3	7.613775607E-3
0.73	5.993046636E-4	-8.220991135E-4	7.082665948E-3
0.74	-3.760455452E-4	-1.364126459E-3	7.710495244E-3
0.75	2.703513508E-4	-1.801260105E-3	8.593775619E-3
0.76	2.575521697E-5	-1.801260105E-3	8.593775619E-3
0.77	-8.184507123E-4	-3.458728960E-3	8.593775619E-3
0.78	1.970969221E-3	-1.887173248E-3	8.026325990E-3
0.79	2.828709684E-3	-9.849244965E-4	8.188540263E-3
0.8	3.116412929E-3	-2.361397017E-3	8.011760836E-3
0.81	9.475480902E-4	-6.202668757E-3	7.613775607E-3
0.8200000000000001	1.866901253E-4	-1.726246537E-2	8.210290627E-3
0.8300000000000001	-4.131521343E-3	-4.415960442E-2	1.039919442E-2
0.84	-3.022888237E-3	-6.989708705E-2	9.690555630E-3
0.85	1.552671069E-4	-9.555045459E-2	9.826810904E-3
0.86	-2.260563860E-2	-2.226754312E-1	1.055377564E-2
0.87	-1.349030329E-2	-2.752701384E-1	1.562359260E-2
0.88	-1.294569051E-3	-2.375523681E-1	1.712343546E-2
0.89	2.782331282E-2	-1.511399289E-1	5.444240491E-3
0.9	1.458049367E-2	-1.153386034E-1	5.038643537E-3
0.91	4.528013541E-3	-7.611809064E-2	8.312606023E-3
0.92	-2.098232928E-2	-6.102914067E-2	7.971280726E-3
0.93	-5.119155327E-2	2.040363415E-2	-3.154517378E-3
0.9400000000000001	-4.242698812E-2	-9.277856673E-2	1.663240657E-2
0.9500000000000001	2.577788562E-2	-2.736922954E-2	1.141610111E-2
0.96	-1.440528255E-1	-6.447275759E-2	6.875876982E-3
0.97	5.328083560E-2	-1.509529158E-1	2.327047915E-2
0.98	2.580447493E-2	3.640551228E-2	7.873147827E-4
0.99	-3.173947792E-2	-3.854251109E-2	1.100513841E-2
1.0	1.336300641E-1	2.108940134E-2	1.417889615E-2
1.01	-2.644143644E-2	-2.830357582E-3	-5.704474555E-3
1.02	-1.477871663E-2	1.279917733E-3	3.752929740E-3
1.03	-4.225623406E-2	-6.075661097E-2	9.510651152E-3
1.04	-1.584762967E-2	1.148060224E-3	-9.927810846E-3
1.05	-1.174720078E-1	-2.289281003E-2	1.330698493E-2
1.06	7.666198529E-3	3.899438361E-2	-2.245451834E-2
1.07	8.420128026E-3	2.606584241E-2	-8.655691910E-3
1.08	-6.673599240E-2	4.958771344E-2	1.450211288E-2
1.09	1.978365790E-2	-3.842273010E-2	-4.454694638E-4
1.1	4.632395388E-2	2.218041185E-2	2.266127348E-3
1.11	-7.172065996E-2	-4.712660791E-2	9.536553711E-3
1.12	1.148095014E-1	9.051838640E-2	-5.552020199E-3
1.1300000000000001	5.073287324E-2	3.987536698E-2	-4.746024163E-3
1.1400000000000001	1.433316331E-2	1.299440043E-1	3.498924051E-3
1.1500000000000001	-2.956878094E-2	2.836843241E-2	9.864480690E-3
1.16	3.880547243E-3	1.178408578E-1	1.442082369E-3
1.17	-1.145742161E-1	8.579076853E-2	1.184965744E-2
1.18	1.258463126E-2	2.304603746E-1	1.106097941E-2
1.19	2.204830022E-2	1.966230936E-1	5.499606250E-3
1.2	-2.392764146E-2	2.826247729E-1	1.177952076E-2
1.21	-1.788773927E-2	2.040014235E-1	1.701678824E-2
1.22	7.921464841E-2	2.955189352E-1	5.080486058E-3
1.23	-4.057063990E-2	2.438926200E-1	1.450186100E-2
1.24	4.990301293E-2	3.276151736E-1	1.009284071E-2
1.25	6.229332307E-2	2.855300657E-1	8.695867495E-3
1.26	1.662359702E-2	3.285923956E-1	1.412337537E-2
1.27	-2.202428050E-2	2.396937582E-1	9.940369095E-3
1.28	4.442378201E-2	2.564743312E-1	6.870451922E-3
1.29	-5.921193410E-2	1.729157637E-1	7.662273703E-3
1.3	-5.176550640E-2	1.621913813E-1	5.821916731E-3
1.31	1.525002789E-2	9.095932434E-2	6.697055957E-3
1.32	-1.946163948E-2	9.618984608E-2	7.693829141E-3
1.33	-9.640717388E-3	4.170431985E-2	5.788638043E-3
1.34	7.323066911E-2	2.985867995E-2	8.899997292E-4
1.35	-3.003193339E-3	-2.449063898E-2	5.773775660E-3
1.36	-1.995067714E-2	-4.219096393E-2	5.717221574E-3
1.37	5.404105820E-2	-2.827016490E-2	-3.275471025E-5
1.3800000000000001	1.654534244E-2	3.348392842E-4	4.698136077E-3
1.3900000000000001	-1.378914552E-2	3.135857046E-2	7.802954585E-4
1.4000000000000001	2.357272094E-2	1.909292939E-2	-2.027813994E-3
1.41	-1.571876280E-2	2.344052792E-2	-9.035539462E-4
1.42	-8.049989572E-2	1.170310591E-3	2.517012024E-3
1.43	9.950847046E-3	2.180342514E-2	-2.895594334E-3
1.44	-1.811561348E-2	1.268615495E-2	-1.191354022E-3
1.45	-1.088758615E-2	3.151934013E-2	-2.866570317E-3
1.46	3.994561395E-2	-8.712532823E-3	-7.273466748E-4
1.47	2.511375634E-2	-1.849216507E-2	2.863775853E-3
1.48	-1.857392117E-2	-5.500199767E-2	2.766069303E-3
1.49	3.484955933E-2	-5.934085849E-2	2.081715387E-3
1.5	1.069783460E-2	-8.061176189E-2	3.944995549E-3
1.51	-2.356982090E-2	-6.768966787E-2	4.812566831E-3
1.52	6.783214874E-3	-9.488975719E-2	4.425273061E-3
1.53	8.035336076E-3	-9.528977638E-2	2.517935200E-3
1.54	-5.771484704E-2	-1.391459213E-1	6.603533273E-3
1.55	-1.073275263E-2	-1.545991774E-1	5.908387628E-3
1.56	-1.444572579E-2	-2.041649969E-1	6.877070162E-3
1.57	-2.372805850E-2	-1.984311395E-1	7.529996383E-3
1.58	1.585771233E-2	-2.303726555E-1	6.702047345E-3
1.59	4.137974231E-2	-2.356594326E-1	6.691973076E-3
1.6	-4.761697467E-3	-2.797937099E-1	7.602045521E-3
1.61	1.250088751E-2	-2.936446184E-1	1.099798450E-2
1.62	1.085673503E-2	-3.125734091E-1	8.828382792E-3
1.6300000000000001	-1.669202316E-2	-2.732336336E-1	1.004323561E-2
1.6400000000000001	-6.184253882E-3	-2.550143111E-1	1.030559544E-2
1.6500000000000001	1.161417719E-2	-2.210281277E-1	6.205104387E-3
1.6600000000000001	-3.036175953E-2	-1.870238853E-1	7.692151215E-3
1.67	-2.312801783E-2	-1.643676478E-1	6.649251861E-3
1.68	-2.163274797E-3	-1.416500657E-1	6.106075362E-3
1.69	-2.379779230E-2	-9.814374431E-2	6.808685151E-3
1.7	-3.077428008E-3	-6.314814146E-2	5.764416397E-3
1.71	3.245305811E-2	-2.751363130E-2	3.388952824E-3
1.72	1.557373391E-2	-4.303464169E-3	5.342393453E-3
1.73	1.226345677E-2	7.644924263E-3	5.052237968E-3
1.74	2.049189202E-2	5.763365771E-3	1.415455281E-3
1.75	-8.853772224E-3	9.709847814E-3	2.800784930E-3
1.76	-1.525886792E-2	9.838032270E-3	9.917359887E-4
1.77	7.629804118E-3	1.242305047E-2	-2.781772850E-3
1.78	-1.516970373E-2	8.871593311E-3	-1.486543729E-3
1.79	-1.586837175E-2	-2.321373244E-3	-1.766929230E-3
1.8	2.884423485E-3	-2.682116941E-2	-4.726729327E-3
1.81	-1.591586017E-2	-4.173966480E-2	-2.729244640E-3
1.82	-1.177742307E-2	-4.822581274E-2	-1.188208905E-3
1.83	2.425523231E-2	-3.537432120E-2	-2.744979333E-3
1.84	1.821796599E-2	-2.035521857E-2	-6.822435141E-4
1.85	1.329625607E-2	-2.669335587E-3	1.803775791E-3
1.86	2.315328891E-2	1.163158239E-2	1.430721701E-3
1.87	7.667602993E-4	3.029744228E-2	1.964975283E-3
1.8800000000000001	-1.233291813E-2	6.099767211E-2	3.376125837E-3
1.8900000000000001	5.236104265E-3	1.009329439E-1	2.783775616E-3
1.9000000000000001	-4.745317406E-3	1.423676233E-1	3.583972333E-3
1.9100000000000001	-1.022157917E-2	1.729175127E-1	4.324375389E-3
1.92	9.896428334E-3	1.942206046E-1	4.587076401E-3
1.93	-2.979216304E-3	2.025106481E-1	6.129090527E-3
1.94	-8.321543725E-3	2.108361484E-1	6.669374591E-3
1.95	1.634628331E-2	2.200505268E-1	6.663775661E-3
1.96	1.647348454E-2	2.344419979E-1	7.550836813E-3
1.97	9.926124576E-3	2.448214685E-1	9.066830813E-3
1.98	2.464418560E-2	2.440053394E-1	8.691952882E-3
1.99	1.301528290E-2	2.349250063E-1	8.604261936E-3
2.0	-8.427334549E-3	2.315891079E-1	8.669009387E-3
2.0100000000000002	-2.550619123E-3	2.184450945E-1	7.309339962E-3
2.02	-5.459224287E-3	2.113640435E-1	6.913819731E-3
2.0300000000000002	-1.194337430E-2	2.093503844E-1	6.848433305E-3
2.04	4.628786500E-3	1.970187220E-1	5.800427695E-3
2.05	4.129565210E-3	1.692618108E-1	5.840705764E-3
2.06	-5.159276911E-3	1.312780806E-1	5.726546088E-3
2.07	6.579020627E-3	8.971972407E-2	4.267178876E-3
2.08	1.065757320E-2	5.181899391E-2	3.869055129E-3
2.09	2.721856210E-3	2.033787113E-2	4.447599132E-3
2.1	1.607523171E-2	1.226972910E-4	2.666550972E-3
2.11	1.313159698E-2	-1.676459604E-2	1.439008024E-3
2.12	-7.889688309E-3	-2.990525731E-2	1.828039053E-3
2.13	-6.240950386E-3	-3.700921267E-2	1.094048864E-4
2.14	-6.584052343E-3	-2.775450574E-2	-2.285649648E-3
2.15	-1.943196071E-2	-1.299128214E-2	-3.096224453E-3
2.16	-3.792738044E-3	9.736217719E-3	-4.284798207E-3
2.17	7.124373153E-3	2.838246335E-2	-4.467703798E-3
2.18	5.621979211E-4	3.788232105E-2	-3.424821466E-3
2.19	6.815002311E-3	3.811192130E-2	-4.254970689E-3
2.2	1.094268239E-2	3.616845219E-2	-3.761705099E-3
2.21	5.941812952E-4	2.648506286E-2	-2.380119868E-3
2.22	1.030502564E-2	1.551046863E-2	-7.493311031E-4
2.23	1.387299729E-2	-1.013494581E-3	-7.215051300E-4
2.24	-2.414157406E-3	-2.187510184E-2	8.555449750E-4
2.25	-1.885593937E-3	-5.446480402E-2	1.170399589E-3
2.2600000000000002	-3.703561397E-3	-9.354793686E-2	1.507806040E-3
2.27	-1.996942503E-2	-1.261678561E-1	2.488255517E-3
2.2800000000000002	-1.347962799E-2	-1.548631275E-1	3.472355977E-3
2.29	1.654490733E-3	-1.776647601E-1	3.080947121E-3
2.3000000000000003	-3.407367369E-3	-1.993467820E-1	4.863016901E-3
2.31	1.591404057E-3	-2.091414040E-1	4.315968383E-3
2.32	8.590965506E-3	-2.300627670E-1	5.154717024E-3
2.33	-3.670768837E-3	-2.475599767E-1	6.394169174E-3
2.34	-1.550772707E-3	-2.415968892E-1	7.530775406E-3
2.35	7.548869661E-3	-2.382777934E-1	8.513711012E-3
2.36	-1.270232011E-3	-2.339835368E-1	8.706187075E-3
2.37	-1.196646871E-3	-2.136859012E-1	8.223090949E-3
2.38	2.224209265E-3	-2.048956200E-1	7.207555015E-3
2.39	-1.454208289E-2	-1.956966011E-1	6.874107845E-3
2.4	-1.655497438E-2	-1.833672052E-1	6.048809521E-3
2.41	-9.966128957E-4	-1.638840701E-1	4.245938540E-3
2.42	-4.868069326E-3	-1.397979762E-1	4.588239772E-3
2.43	-2.909889540E-3	-1.162395564E-1	3.980061036E-3
2.44	6.961852913E-3	-8.908120784E-2	2.445439584E-3
2.45	-3.539645874E-4	-7.162990008E-2	4.458712680E-3
2.46	-7.084919611E-3	-5.934062928E-2	4.106406007E-3
2.47	4.715143992E-3	-3.565308081E-2	2.390924938E-3
2.48	-6.023435911E-4	-1.696742709E-2	2.016512814E-3
2.49	-5.945269572E-3	2.374648451E-3	2.818069301E-4
2.5	1.410292274E-3	1.199825421E-2	-1.737811076E-3
2.5100000000000002	-5.365643482E-3	1.545804921E-2	-2.906702804E-3
2.52	-1.492498257E-2	1.341714334E-2	-3.063636244E-3
2.5300000000000002	-1.315791289E-3	1.262851502E-2	-5.665134076E-3
2.54	9.140614803E-4	9.761994663E-3	-5.176232048E-3
2.5500000000000003	-2.421118608E-3	4.149037435E-3	-5.950102374E-3
2.56	1.228364386E-2	-7.780605745E-3	-6.056223895E-3
2.57	8.590971149E-3	-1.931618196E-2	-5.148463976E-3
2.58	-4.253891614E-3	-3.211189038E-2	-2.374811027E-3
2.59	5.658058148E-3	-3.760185204E-2	-2.135449456E-3
2.6	-5.283165042E-4	-2.773246154E-2	-2.577162251E-4
2.61	-9.181637677E-3	-1.173865641E-2	7.836342722E-4
2.62	3.360627728E-3	1.782909879E-2	8.248809546E-4
2.63	1.154662721E-3	4.264911502E-2	1.699890460E-3
2.64	-1.014592714E-2	8.176503370E-2	8.032657098E-4
2.65	-8.242417637E-5	1.205147982E-1	7.637756952E-4
2.66	5.138589870E-3	1.667226859E-1	-1.912343648E-4
2.67	-1.312884489E-3	1.876152465E-1	3.740825745E-3
2.68	1.025126259E-2	2.279130134E-1	4.743860589E-3
2.69	1.529031317E-2	2.530905667E-1	6.677699792E-3
2.7	7.006216210E-3	2.490063131E-1	6.953350666E-3
2.71	7.119362791E-3	2.483854931E-1	6.853076782E-3
