Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	9.989574161E-4	5.424948670E-3	-4.192411091E-3
0.01	-6.947206801E-5	3.394528960E-3	-4.716521666E-3
0.02	-6.411455947E-4	3.276706703E-4	-5.474226745E-3
0.03	9.963598402E-5	-4.529268521E-4	-5.027637891E-3
0.04	1.027733307E-3	7.508732115E-5	-4.000674527E-3
0.05	3.260621320E-3	4.207502224E-4	-3.555493871E-3
0.06	3.652854977E-3	5.200500972E-5	-4.052415734E-3
0.07	1.909679976E-3	-1.351213581E-3	-4.775949056E-3
0.08	-3.669273943E-5	-2.265421698E-3	-4.357202289E-3
0.09	-5.322828197E-4	-6.774138014E-4	-3.563540112E-3
0.1	1.020219578E-3	2.617064376E-3	-4.228396136E-3
0.11	2.701037283E-3	6.675175454E-3	-3.452716117E-3
0.12	2.180734983E-3	7.487792783E-3	-4.431878712E-3
0.13	2.772604611E-3	7.513596315E-3	-4.733400883E-3
0.14	2.016058726E-3	5.617218929E-3	-3.789399274E-3
0.15	9.618998565E-4	8.805796439E-4	-3.921679373E-3
0.16	3.564798827E-4	-2.173191133E-3	-3.613437902E-3
0.17	2.536763089E-4	-2.998767575E-3	-3.517187094E-3
0.18	8.321949241E-4	-2.667132108E-3	-4.230712052E-3
0.19	2.027064246E-3	-5.379113741E-4	-4.200289841E-3
0.2	2.204129182E-3	1.180641490E-3	-3.616669615E-3
0.21	1.563441394E-3	1.059923005E-3	-4.015272390E-3
0.22	1.180428214E-3	2.045663782E-3	-3.585398458E-3
0.23	2.559521919E-4	3.626736336E-3	-4.049989547E-3
0.24	8.668680803E-4	3.639415232E-3	-4.343849986E-3
0.25	8.903696033E-4	4.915555556E-3	-4.285901231E-3
0.26	2.306450039E-3	5.443474080E-3	-4.569758015E-3
0.27	1.473966947E-3	4.151233174E-3	-5.116521504E-3
0.28	1.894081105E-3	-1.330415301E-3	-3.502193482E-3
0.29	1.060064328E-2	-7.597807577E-3	-4.589511801E-3
0.3	4.226924979E-2	-1.100477284E-2	-3.102265856E-3
0.31	1.292460174E-1	-2.935793443E-2	-7.473215281E-4
0.32	2.005765476E-1	-1.469737536E-2	-1.109588991E-3
0.33	2.253804951E-1	9.116125155E-3	1.966458262E-3
0.34	3.569358470E-1	1.836619779E-2	1.199664049E-2
0.35000000000000003	4.948482508E-1	1.593758699E-2	1.964827312E-2
0.36	4.615940356E-1	3.393412416E-2	1.723997223E-2
0.37	3.431600485E-1	6.926303716E-2	8.110732975E-3
0.38	2.858061722E-1	-3.781064527E-3	-7.421789704E-3
0.39	2.139631678E-1	-2.559934708E-2	-1.523051445E-2
0.4	1.524497588E-1	-5.760471228E-2	-7.398647828E-3
0.41000000000000003	1.922553243E-2	4.309472777E-2	-6.257169585E-3
0.42	-4.602332494E-2	5.902946204E-2	4.601244815E-3
0.43	-1.003250118E-1	1.064123890E-1	4.172001720E-3
0.44	-2.772516259E-2	1.858357540E-3	9.149376345E-3
0.45	1.622955904E-2	-4.143899521E-2	-1.533057312E-3
0.46	6.316038555E-2	-8.514178478E-2	-7.725035886E-3
0.47000000000000003	4.069944411E-2	-3.062850151E-2	-1.564072257E-2
0.48	3.325433678E-2	-2.569303305E-3	-1.847543298E-2
0.49	3.014839648E-2	9.095791527E-3	-2.252824852E-2
0.5	2.849813299E-2	1.784701853E-2	-2.344339904E-2
0.51	3.004176304E-2	1.678980844E-2	-2.219457072E-2
0.52	3.129659585E-2	3.445717941E-4	-2.663434197E-2
0.53	4.089179301E-2	-2.388195277E-2	-2.589035298E-2
0.54	2.381781834E-2	-2.831647617E-3	-2.532745507E-2
0.55	1.716157306E-2	1.954262464E-3	-1.952579935E-2
0.56	-2.550852111E-2	4.660230735E-2	-1.392429865E-2
0.5700000000000001	-5.484575646E-2	4.606794972E-2	-1.964698488E-3
0.58	-3.003202881E-2	8.995148551E-3	4.571853733E-3
0.59	8.975479713E-3	-4.562709119E-2	1.221269450E-2
0.6	-1.583304859E-2	-4.577304438E-2	3.162853834E-3
0.61	-7.560237389E-2	-1.707926223E-2	-4.649414929E-3
0.62	-1.370332324E-1	8.450513874E-3	-3.999470308E-3
0.63	-1.898895849E-1	2.171405452E-2	-3.824187800E-3
0.64	-2.137943282E-1	-6.628353443E-3	-2.216871121E-3
0.65	-2.502207599E-1	-2.522227844E-2	5.478183113E-3
0.66	-3.161081515E-1	-1.955007138E-2	1.182118451E-2
0.67	-3.972932283E-1	6.569213406E-3	1.613838891E-2
0.68	-4.654109097E-1	3.322783650E-2	1.993331590E-2
0.6900000000000001	-4.963689726E-1	2.188512873E-2	2.023498485E-2
0.7000000000000001	-5.131144620E-1	-9.077192428E-4	1.675777606E-2
0.71	-5.073093361E-1	-3.866279414E-2	1.777020572E-2
0.72	-5.247368682E-1	-1.550497325E-2	1.770378224E-2
0.73	-4.998112326E-1	-1.964472573E-2	1.427976535E-2
0.74	-4.824871011E-1	3.903194405E-3	1.051572642E-2
0.75	-3.942872490E-1	-7.927746643E-3	5.124301229E-3
0.76	-3.127151476E-1	8.998620836E-3	1.224752399E-3
0.77	-2.132926497E-1	-4.154223288E-3	-1.436224587E-3
0.78	-1.314061589E-1	1.200590525E-2	-5.603230198E-3
0.79	-2.470059042E-2	-4.768260988E-3	-1.453070749E-3
0.8	5.755119658E-2	-4.683117958E-3	3.675746217E-4
0.81	1.057623297E-1	1.338762682E-2	1.341004243E-3
0.8200000000000001	1.211569921E-1	3.038435749E-2	5.947325435E-4
0.8300000000000001	1.083277969E-1	3.076095178E-2	-4.081938162E-3
0.84	1.000537334E-1	7.517008602E-3	-1.117183455E-2
0.85	8.049115332E-2	-2.091622622E-2	-1.835746932E-2
0.86	4.103549132E-2	-4.115403138E-2	-1.980298360E-2
0.87	-4.037124361E-2	-2.026877122E-2	-2.321690700E-2
0.88	-1.411520841E-1	2.910327301E-2	-2.234036926E-2
0.89	-1.794725401E-1	3.487940407E-2	-1.945753811E-2
0.9	-1.695084545E-1	2.037238947E-2	-1.643131033E-2
0.91	-1.169863411E-1	-2.525052216E-2	-1.516548314E-2
0.92	-8.165611934E-2	-2.703722824E-2	-1.336774890E-2
0.93	-5.205314010E-2	-6.754289301E-3	-1.121613246E-2
0.9400000000000001	-1.272098103E-2	2.670112318E-2	-4.860773676E-3
0.9500000000000001	5.787465614E-2	2.185126788E-2	5.183180311E-4
0.96	1.284830155E-1	2.447251291E-3	2.945030812E-3
0.97	1.848118765E-1	-2.050686794E-2	3.371512948E-3
0.98	2.108629497E-1	-2.064173179E-2	8.017794585E-5
0.99	2.236573820E-1	-8.044492479E-3	-4.102983759E-3
1.0	2.405512865E-1	-2.766996956E-3	-5.896600621E-3
1.01	2.548941151E-1	2.100931159E-3	-5.396900147E-3
1.02	2.788323188E-1	-3.096601848E-3	-5.143812589E-4
1.03	2.923200072E-1	1.460095450E-2	4.173899609E-3
1.04	3.245675588E-1	2.008915511E-2	1.066517190E-2
1.05	3.724258433E-1	2.406941289E-2	1.319501742E-2
1.06	4.351703510E-1	3.819859241E-3	1.573412268E-2
1.07	4.711141454E-1	6.312244123E-3	1.164239172E-2
1.08	4.891374163E-1	1.589431342E-2	9.123266552E-3
1.09	4.812028062E-1	3.650653595E-2	4.351186367E-3
1.1	4.762818038E-1	2.350256932E-2	3.005316934E-3
1.11	4.585012949E-1	-1.081184400E-2	5.321102790E-4
1.12	4.126759606E-1	-3.194431495E-2	1.244032548E-3
1.1300000000000001	3.291268482E-1	-2.321468583E-2	7.504082233E-4
1.1400000000000001	2.240685408E-1	5.352996666E-3	-7.835524976E-4
1.1500000000000001	1.235576544E-1	2.280998666E-2	-1.979317999E-3
1.16	4.637318610E-2	1.449986551E-2	-1.831118694E-3
1.17	-1.072042171E-3	-1.301614234E-2	4.188485932E-4
1.18	-4.367920546E-2	-2.618416955E-2	2.075753885E-3
1.19	-9.468705454E-2	6.308033784E-4	1.955009831E-3
1.2	-1.272137998E-1	2.572379264E-2	-9.476122695E-4
1.21	-1.274820616E-1	3.345721218E-2	-4.682561975E-3
1.22	-8.843518062E-2	8.016580477E-3	-1.149791707E-2
1.23	-3.405311186E-2	-1.781413045E-2	-1.982360997E-2
1.24	1.127006553E-2	-1.868339056E-2	-2.506174467E-2
1.25	3.743896003E-2	-4.425358263E-3	-2.663519861E-2
1.26	6.808847759E-2	2.620025152E-3	-2.405964975E-2
1.27	1.029464984E-1	5.531362311E-3	-1.753359003E-2
1.28	1.327710893E-1	1.928331752E-3	-1.097519124E-2
1.29	1.376639774E-1	5.401200302E-3	-8.144173211E-3
1.3	1.143733754E-1	1.030948799E-2	-6.075489888E-3
1.31	8.024235931E-2	9.344185872E-3	-3.987811194E-3
1.32	4.062993204E-2	2.852735611E-3	-2.970500524E-3
1.33	-1.312027380E-2	1.959600881E-4	-6.138757527E-4
1.34	-9.419081442E-2	6.655175873E-3	2.391512723E-3
1.35	-1.912172046E-1	1.525783241E-2	3.915786433E-3
1.36	-2.716984350E-1	1.718498445E-2	3.526405343E-3
1.37	-3.281680985E-1	-2.040013768E-3	3.619374891E-3
1.3800000000000001	-3.633514268E-1	-2.729616225E-2	3.174051816E-3
1.3900000000000001	-4.031761691E-1	-2.549149607E-2	4.511833653E-3
1.4000000000000001	-4.414250951E-1	-7.924784481E-3	1.021173146E-2
1.41	-4.610340157E-1	1.253854145E-2	1.551746426E-2
1.42	-4.476915918E-1	1.125467055E-2	2.057951633E-2
1.43	-4.063839642E-1	-9.431118331E-3	2.261122941E-2
1.44	-3.686657743E-1	-2.331084977E-2	2.269674228E-2
1.45	-3.548317156E-1	-1.402964753E-2	2.021585522E-2
1.46	-3.564136822E-1	6.886674792E-3	1.550423255E-2
