Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	6.061108663E-3	2.095338229E-3	-5.601743361E-3
0.01	1.035247694E-2	2.637385849E-3	-4.703382155E-3
0.02	1.089165012E-2	3.098988060E-3	-4.354909560E-3
0.03	9.326960320E-3	3.428197069E-3	-4.668987691E-3
0.04	1.067348653E-2	1.340096095E-3	-5.587837076E-3
0.05	1.128180902E-2	3.525510171E-4	-5.390885970E-3
0.06	1.149728696E-2	9.953462818E-4	-5.749581954E-3
0.07	9.446188325E-3	8.514835307E-4	-5.228960135E-3
0.08	5.583277237E-3	2.039182954E-3	-5.331835518E-3
0.09	2.272343408E-3	4.217830500E-3	-4.526199253E-3
0.1	-6.548041528E-4	4.400026525E-3	-3.376555044E-3
0.11	-3.415209087E-3	3.207992196E-3	-3.042008949E-3
0.12	-5.336474412E-3	2.510710922E-3	-3.515069596E-3
0.13	-6.886045626E-3	1.676427248E-3	-4.023830441E-3
0.14	-9.699441985E-3	-2.548095844E-4	-4.454473158E-3
0.15	-1.170307738E-2	1.933296077E-3	-5.310604548E-3
0.16	-1.135190497E-2	2.398330289E-3	-5.642130486E-3
0.17	-8.875206027E-3	2.483246071E-3	-4.888976277E-3
0.18	-4.932773802E-3	1.456496727E-3	-4.632475346E-3
0.19	-8.063009881E-4	-2.220950121E-5	-3.739335663E-3
0.2	1.574163947E-3	6.547749105E-4	-3.844967332E-3
0.21	2.542695020E-3	2.931444436E-3	-4.342124094E-3
0.22	3.001394959E-3	4.367943963E-3	-4.330001836E-3
0.23	3.342275377E-3	4.419637956E-3	-5.467918211E-3
0.24	5.807323261E-3	3.720522944E-3	-5.433229109E-3
0.25	7.568510267E-3	1.980144582E-3	-5.675391743E-3
0.26	7.398595764E-3	1.720937121E-4	-5.407590328E-3
0.27	6.356840684E-3	4.109696784E-4	-5.767244002E-3
0.28	3.007065161E-3	2.456575457E-3	-5.074895522E-3
0.29	1.552692735E-3	2.563387023E-3	-4.431557589E-3
0.3	1.301169089E-3	2.906745354E-3	-4.048164056E-3
0.31	7.820146497E-4	1.834187837E-3	-4.823826953E-3
0.32	-3.091379486E-5	9.835266272E-4	-5.271307398E-3
0.33	-6.510834854E-4	2.018723611E-3	-4.892076155E-3
0.34	-1.702808337E-3	3.545075480E-3	-4.073308608E-3
0.35000000000000003	-3.884093674E-3	3.716001061E-3	-3.357078860E-3
0.36	-5.204791585E-3	3.347825783E-3	-3.943961854E-3
0.37	-4.851162060E-3	1.903246147E-3	-4.937520592E-3
0.38	-3.869622077E-3	4.093586994E-4	-4.810683952E-3
0.39	-4.142978722E-3	-8.026030919E-4	-4.188207289E-3
0.4	-4.808566840E-3	-1.619150004E-4	-3.529313704E-3
0.41000000000000003	-6.715308995E-3	1.105097208E-3	-4.858544966E-3
0.42	-6.738009535E-3	2.678057161E-3	-4.837728964E-3
0.43	-7.286207581E-3	3.345182669E-3	-4.143862437E-3
0.44	-6.633563626E-3	1.936220063E-3	-4.975049116E-3
0.45	-6.045985532E-3	2.978103323E-4	-4.884335118E-3
0.46	-5.317133676E-3	3.242333795E-4	-4.294119769E-3
0.47000000000000003	-4.926153655E-3	1.420010490E-3	-4.162075169E-3
0.48	-4.057745168E-3	2.635057190E-3	-4.070824035E-3
0.49	-1.870481104E-3	3.287390698E-3	-3.496627064E-3
0.5	7.281379508E-4	1.233699043E-3	-3.603649338E-3
0.51	5.705809845E-3	2.450997868E-4	-4.551175734E-3
0.52	8.538143956E-3	-1.192825219E-3	-4.151936646E-3
0.53	1.021609501E-2	1.370583794E-3	-4.459242825E-3
0.54	9.063245757E-3	2.903046284E-3	-3.160241744E-3
0.55	9.970552130E-3	3.935426150E-3	-3.060239455E-3
0.56	9.877768677E-3	3.877637797E-3	-3.671286648E-3
0.5700000000000001	9.971533475E-3	2.977881628E-3	-3.876587614E-3
