Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-1.416313905E-6	9.098461130E-5	4.878206003E-3
0.01	-6.349185806E-4	9.098461130E-5	4.880877183E-3
0.02	2.235183450E-4	9.098461130E-5	3.932561376E-3
0.03	5.421017065E-4	9.098461130E-5	4.878206003E-3
0.04	2.544187320E-4	9.098461130E-5	4.878206003E-3
0.05	1.338142787E-4	9.098461130E-5	4.877834525E-3
0.06	4.956197531E-4	9.098461130E-5	4.868206004E-3
0.07	-2.057015709E-4	9.098461130E-5	4.868725525E-3
0.08	-9.963132389E-5	9.098461130E-5	4.936515458E-3
0.09	-9.817530381E-5	9.098461130E-5	5.792646436E-3
0.1	-4.602719663E-4	-3.370805440E-6	4.951015693E-3
0.11	-2.634138217E-4	-1.089969305E-3	5.858205965E-3
0.12	3.226557728E-4	-8.277896241E-5	5.858205965E-3
0.13	-3.321153053E-4	-5.472223121E-5	5.763631081E-3
0.14	-7.546325576E-5	-3.026577798E-4	5.082134764E-3
0.15	5.574094310E-4	4.287258241E-4	6.838205977E-3
0.16	3.683806305E-4	3.844632514E-4	6.721741357E-3
0.17	1.340031786E-4	7.443751269E-4	5.858205965E-3
0.18	-3.217878173E-4	2.290548817E-4	5.727241115E-3
0.19	6.553883373E-4	-1.193995692E-3	5.016421007E-3
0.2	1.197607701E-3	4.795000285E-4	5.858205965E-3
0.21	-3.201067337E-4	3.196750246E-4	6.011075436E-3
0.22	3.384640602E-4	-3.421634952E-4	6.838205977E-3
0.23	-3.157544417E-4	4.592767562E-4	6.670836269E-3
0.24	1.411258249E-4	4.492027687E-4	6.032825823E-3
0.25	-1.099532196E-3	4.391287819E-4	6.838205977E-3
0.26	6.738441802E-4	4.290547990E-4	7.216446128E-3
0.27	1.448583644E-3	4.169764216E-4	8.601804765E-3
0.28	1.244809096E-3	4.009845969E-4	7.818205988E-3
0.29	4.664303697E-4	3.966779727E-4	7.818205988E-3
0.3	2.425362017E-4	3.787573124E-4	7.599931193E-3
0.31	-2.881926273E-4	3.686833250E-4	7.289255814E-3
0.32	2.281839267E-4	3.609845950E-4	8.565430826E-3
0.33	-3.618959429E-5	5.961483170E-4	7.818205988E-3
0.34	9.362493745E-4	1.073555031E-3	7.570776437E-3
0.35000000000000003	-5.214163153E-4	8.477451169E-4	7.092885622E-3
0.36	-5.214163153E-4	2.023709316E-3	8.080135725E-3
0.37	-2.549831745E-4	1.554670995E-3	8.529025983E-3
0.38	1.749743671E-4	1.971733775E-3	7.541775966E-3
0.39	-2.435255897E-4	1.535980602E-3	7.121886096E-3
0.4	4.356145314E-4	2.205046272E-3	8.109182007E-3
0.41000000000000003	4.255394284E-4	2.181851906E-3	8.499871237E-3
0.42	1.129989529E-4	2.154748163E-3	7.818205988E-3
0.43	-2.517736268E-4	2.137792295E-3	7.818205988E-3
0.44	9.176490112E-5	2.121185996E-3	7.498121019E-3
0.45	-5.614162939E-4	2.418299209E-3	7.165541081E-3
0.46	-2.336593768E-4	3.044156291E-3	8.152791132E-3
0.47000000000000003	3.985836585E-4	3.017029824E-3	8.456316706E-3
0.48	3.950199941E-4	3.325969519E-3	7.818205988E-3
0.49	3.849460220E-4	3.567219379E-3	7.818205988E-3
0.5	7.386119688E-4	2.556109732E-3	7.818205988E-3
0.51	9.738079821E-4	1.913413270E-3	7.447215931E-3
0.52	3.547240838E-4	2.271505529E-3	7.594686279E-3
0.53	-3.297302537E-5	3.234674153E-3	8.412715593E-3
0.54	-6.214162851E-4	3.402149560E-3	7.425403717E-3
0.55	-1.017477942E-3	3.187046190E-3	8.038640371E-3
0.56	-1.184021352E-3	3.341118365E-3	8.963416197E-3
0.5700000000000001	-2.052334271E-4	2.734060305E-3	7.403560955E-3
0.58	7.618687179E-4	2.693764370E-3	6.838205977E-3
0.59	8.794384268E-4	2.653468409E-3	6.838205977E-3
0.6	-9.890566354E-5	2.608719465E-3	6.401810595E-3
0.61	-6.314163147E-4	2.553818279E-3	5.858205965E-3
0.62	-6.268137514E-4	2.046921948E-3	5.407156108E-3
0.63	-1.724693789E-4	1.476954994E-3	5.336505975E-3
0.64	-1.269664264E-4	1.907532671E-3	6.323756081E-3
0.65	-6.365918138E-4	9.874084319E-4	7.311006209E-3
0.66	-6.265178273E-4	-6.855892392E-5	6.858105286E-3
0.67	-6.164438399E-4	-6.637094045E-5	5.858205965E-3
0.68	-1.268823093E-4	-5.490153725E-4	6.352834435E-3
0.6900000000000001	3.434616810E-4	-5.438933919E-4	6.838205977E-3
0.7000000000000001	3.333877060E-4	-5.338194040E-4	6.838205977E-3
0.71	-1.773316053E-4	-5.237454180E-4	6.321750779E-3
0.72	-6.260723672E-4	-5.190153769E-4	5.858205965E-3
0.73	4.027304164E-4	-5.081778386E-4	5.327166943E-3
0.74	7.137434746E-4	-4.990153643E-4	5.416565785E-3
0.75	-2.647564260E-4	-4.878804609E-4	5.312596060E-3
0.76	-1.206069119E-3	-4.733739324E-4	4.878206003E-3
0.77	-1.582839186E-3	-4.575845419E-4	4.878206003E-3
0.78	-1.538258695E-3	-4.490153561E-4	4.878206003E-3
0.79	-9.409425056E-4	-4.372886332E-4	4.878206003E-3
0.8	-5.254780213E-4	-4.290153901E-4	4.878206003E-3
0.81	4.980982989E-5	-4.169895686E-4	4.878206003E-3
0.8200000000000001	4.164098990E-4	-4.090153775E-4	4.878206003E-3
0.8300000000000001	-1.828596941E-4	-9.881370148E-4	4.878206003E-3
0.84	3.465953246E-5	-1.330310789E-3	4.878206003E-3
0.85	3.822748414E-4	-1.899427709E-3	4.878206003E-3
0.86	3.722008690E-4	-9.879843987E-4	4.878206003E-3
0.87	-2.513659203E-4	-9.054227929E-4	3.618933395E-3
0.88	3.568896761E-5	-1.235950677E-3	4.202013622E-3
0.89	-2.590174261E-4	-5.815952741E-4	4.878206003E-3
0.9	-1.209365235E-3	-8.903249234E-4	4.878206003E-3
0.91	-8.662502426E-4	-1.195506767E-3	4.223039966E-3
0.92	7.527831608E-4	-1.168530518E-3	4.570548175E-3
0.93	2.644929377E-5	-1.152113075E-3	4.208687691E-3
0.9400000000000001	9.143003310E-5	-1.135060695E-3	4.585007015E-3
0.9500000000000001	3.715318950E-4	-1.114911817E-3	4.194182752E-3
0.96	3.614579145E-4	-4.178159760E-4	3.908206018E-3
0.97	-3.325921070E-4	-1.390153938E-4	3.908206018E-3
0.98	9.686164590E-5	-1.462891103E-4	3.195380654E-3
0.99	3.438882519E-4	-1.490153768E-4	4.361009356E-3
1.0	-1.806622372E-3	-8.690326493E-4	4.158188746E-3
1.01	-3.547234506E-4	-3.842853544E-4	3.173476043E-3
1.02	-3.558252032E-4	-1.465866068E-4	2.928206100E-3
1.03	-5.837710957E-4	-1.490153768E-4	4.419021365E-3
1.04	-5.814163065E-4	-1.567345691E-4	4.129444837E-3
1.05	1.745210211E-4	-1.668085565E-4	3.908206018E-3
1.06	1.120343754E-3	-1.611469965E-4	4.671439633E-3
1.07	1.270927463E-3	-1.510726743E-4	4.878206003E-3
1.08	4.729485552E-4	6.045529771E-4	4.100587577E-3
1.09	-4.981201657E-4	6.190074003E-6	3.908206018E-3
1.1	-6.814162764E-4	-1.790153724E-4	3.908206018E-3
1.11	-6.731763659E-4	-1.790153724E-4	3.908206018E-3
1.12	-6.631021256E-4	-1.790153724E-4	3.908206018E-3
1.1300000000000001	-2.263555376E-3	6.178600666E-4	3.908206018E-3
1.1400000000000001	-1.725201907E-3	7.540603156E-4	3.078916030E-3
1.1500000000000001	-1.562880145E-3	1.553380228E-3	2.928206100E-3
1.16	1.089440529E-4	2.483114261E-3	3.771996322E-3
1.17	3.785836692E-4	8.915355174E-4	3.057165642E-3
1.18	3.698242383E-4	1.471891379E-3	2.069780397E-3
1.19	3.597500592E-4	2.394844164E-3	3.679595834E-3
1.2	3.496760717E-4	1.574593937E-3	3.908206018E-3
1.21	3.575652623E-4	1.443021393E-3	2.147815803E-3
1.22	-5.288615852E-4	1.413817907E-3	1.948206088E-3
1.23	2.550199566E-4	2.278291232E-3	1.948206088E-3
1.24	-1.419566354E-3	1.422077153E-3	3.752380988E-3
1.25	-1.562138650E-3	2.222358485E-3	1.180585996E-3
1.26	-6.354733164E-4	2.262925595E-3	9.682062626E-4
1.27	3.335797403E-4	4.132843024E-4	2.815906402E-3
1.28	1.310182812E-3	1.222583763E-3	1.997105868E-3
1.29	4.010832856E-4	1.251834587E-3	1.948206088E-3
1.3	-5.678646819E-4	3.094230833E-3	2.893955469E-3
1.31	3.321394333E-4	1.235525881E-3	1.975201257E-3
1.32	2.249698139E-3	1.161387524E-3	1.948206088E-3
1.33	1.311206053E-3	1.836070410E-4	9.807011934E-4
1.34	-6.310338012E-4	1.610381268E-4	3.892471720E-3
1.35	-6.274664751E-4	1.118958547E-3	1.950211706E-3
1.36	1.261136941E-3	1.402022546E-4	2.909386744E-3
1.37	-2.600906187E-3	1.074154746E-3	9.848661045E-4
1.3800000000000001	-2.523352424E-3	7.756265362E-5	1.948206088E-3
1.3900000000000001	-6.010983582E-4	-8.590153582E-4	1.948206088E-3
1.4000000000000001	-5.918082310E-4	-8.586234185E-4	1.909795942E-3
1.41	-5.566878467E-4	-8.485494543E-4	9.682062626E-4
1.42	2.543662114E-4	-7.871766495E-4	1.074043687E-3
1.43	-1.332003568E-3	6.190075770E-5	2.807576578E-3
1.44	2.050392271E-3	-8.383259553E-4	1.035771177E-3
1.45	-1.495837838E-3	-8.290154091E-4	2.023021091E-3
1.46	-5.805789044E-4	-8.290154091E-4	2.764075789E-3
1.47	-6.589087519E-4	-8.281040222E-4	1.146836726E-3
1.48	-1.434835633E-3	-8.190153330E-4	2.831625494E-3
1.49	-6.553860751E-4	-8.190153330E-4	1.740266540E-3
1.5	-1.419061487E-3	-8.190153330E-4	9.942593952E-5
1.51	-5.402074058E-4	-8.190153330E-4	1.086676250E-3
1.52	-5.301334425E-4	-8.190153330E-4	1.948206088E-3
1.53	-3.911597503E-4	-8.190153330E-4	1.815235868E-3
1.54	2.997941799E-4	-8.190153330E-4	9.682062626E-4
1.55	-5.314162983E-4	-8.175102977E-4	1.263193644E-3
1.56	-3.781218024E-4	-8.074349970E-4	2.773331243E-3
1.57	5.973999427E-4	-9.578316414E-4	2.110331029E-3
1.58	8.956433357E-4	-1.755558752E-3	2.758831008E-3
1.59	-1.163572816E-3	-1.731806082E-3	2.301456427E-3
1.6	5.646186944E-5	-1.695262777E-3	3.540455381E-3
1.61	-1.509466007E-3	-1.673164594E-3	2.139331503E-3
1.62	-1.108651804E-3	-1.646990857E-3	2.729799296E-3
1.6300000000000001	4.364838822E-4	-1.630616224E-3	2.359765946E-3
1.6400000000000001	4.264098821E-4	-1.383811521E-3	3.695176010E-3
1.6500000000000001	2.028329736E-4	-1.040516790E-3	2.928206100E-3
1.6600000000000001	-5.390957563E-4	-2.290000899E-3	3.155617919E-3
1.67	-7.383408432E-5	-1.264234908E-3	3.908206018E-3
1.68	6.599012931E-4	-5.165456821E-4	3.666175539E-3
1.69	-1.279552263E-3	-7.532471199E-4	2.928206100E-3
1.7	-7.876243683E-4	-1.709984936E-3	3.184891096E-3
1.71	-1.465257024E-3	-2.362083115E-3	4.169447911E-3
1.72	-6.216965644E-4	-1.743877591E-3	4.609787951E-3
1.73	6.418011215E-4	-3.218565629E-4	3.629770692E-3
1.74	-8.787907918E-4	-6.059553928E-4	3.213891564E-3
1.75	4.826054109E-4	-9.890689335E-4	3.908206018E-3
1.76	1.744778862E-4	-3.028881604E-4	4.505608395E-3
1.77	-1.963809225E-4	-2.858767027E-4	5.550615878E-3
1.78	4.421583525E-4	-2.790153888E-4	4.566578463E-3
1.79	1.130666071E-4	-2.790153888E-4	4.227009712E-3
1.8	-8.473142476E-4	-2.790153888E-4	4.878206003E-3
1.81	-1.131391088E-3	-2.790153888E-4	4.545050036E-3
1.82	-8.077654095E-4	-2.755062561E-4	4.248591669E-3
1.83	-1.060171210E-3	-2.690153825E-4	5.580696092E-3
1.84	-7.789371266E-4	7.484733722E-5	6.479710791E-3
1.85	-1.366487910E-3	6.635204097E-4	5.492460693E-3
1.86	-6.106497611E-4	6.433724352E-4	4.878206003E-3
1.87	-1.741472227E-4	6.271045290E-4	5.638697039E-3
1.8800000000000001	-1.349554147E-3	9.966181421E-4	6.450710320E-3
