Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	1.188197258E-3	-4.050691002E-2	-2.534379774E-3
0.01	1.188197258E-3	-4.050691002E-2	-2.534379774E-3
0.02	8.812580192E-5	-2.408705925E-3	1.734884670E-4
0.03	2.761130316E-5	3.191838259E-5	3.456200838E-4
0.04	3.746798940E-5	5.163175514E-5	3.456200838E-4
0.05	3.819733239E-5	5.309044113E-5	3.456200838E-4
0.06	-5.458469742E-4	5.309044113E-5	-1.471406543E-3
0.07	-4.131387325E-4	5.309044113E-5	-6.928500691E-4
0.08	1.010292889E-3	5.309044113E-5	-6.343797416E-4
0.09	-3.202131661E-4	5.309044113E-5	-2.451428533E-3
0.1	-3.095395281E-4	5.309044113E-5	-7.510279876E-4
0.11	3.936035494E-4	5.309044113E-5	-1.543043908E-3
0.12	3.353558174E-4	5.309044113E-5	-6.928407955E-4
0.13	2.434848236E-4	5.309044113E-5	-6.343797416E-4
0.14	8.311848354E-4	7.025529144E-4	-6.343797416E-4
0.15	-1.217172927E-3	-8.199083414E-5	-6.343797416E-4
0.16	7.266660318E-4	-1.036908070E-4	-1.519442252E-3
0.17	1.002285777E-4	-6.981580598E-5	-7.293172427E-4
0.18	-4.523964151E-4	4.388404209E-4	-2.404504763E-3
0.19	8.348223355E-4	3.485904325E-4	-1.709317254E-3
0.2	1.111973338E-4	1.525215449E-3	-7.293172427E-4
0.21	-1.751927643E-3	-9.897205944E-5	-2.404504763E-3
0.22	7.133848072E-4	5.800904387E-4	-1.709317254E-3
0.23	-7.538651660E-4	1.567184184E-3	-1.614379753E-3
0.24	-5.674016711E-5	2.539121709E-3	-2.499442264E-3
0.25	9.232597739E-4	8.629654408E-4	-1.709317254E-3
0.26	1.421660759E-4	3.319246735E-3	-2.499442264E-3
0.27	4.819733214E-5	9.388716822E-4	-1.709317254E-3
0.28	9.242285239E-4	1.538152979E-3	-1.614379753E-3
0.29	1.421660759E-4	1.633090484E-3	-1.614379753E-3
0.3	4.819733214E-5	2.509121592E-3	-7.293172427E-4
0.31	9.422910773E-4	2.594059092E-3	-6.343797416E-4
0.32	-7.228963755E-4	2.584059109E-3	-2.404504763E-3
0.33	-9.027713857E-4	3.459121636E-3	-8.242547438E-4
0.34	-1.196319034E-4	3.536963184E-3	-1.424614126E-3
0.35000000000000003	-7.772217051E-4	3.524191125E-3	-7.422632656E-4
0.36	-5.771419107E-6	4.381059060E-3	-1.519442252E-3
0.37	8.819733113E-5	3.569965505E-3	-2.499442264E-3
0.38	-7.788026864E-4	3.445996653E-3	-1.709317254E-3
0.39	-8.537401349E-4	4.310090263E-3	-7.293172427E-4
0.4	2.422858364E-5	3.499965437E-3	-1.519442252E-3
0.41000000000000003	1.272285801E-4	5.137090204E-3	-1.614379753E-3
0.42	1.281973301E-4	4.410933962E-3	-1.614379753E-3
0.43	1.372285805E-4	5.180090425E-3	-7.293172427E-4
0.44	1.381973306E-4	4.360934233E-3	-1.519442252E-3
0.45	1.023259789E-3	3.350934272E-3	-1.614379753E-3
0.46	2.421660713E-4	4.111058996E-3	-1.614379753E-3
0.47000000000000003	-7.188026108E-4	3.299965405E-3	-7.293172427E-4
0.48	9.492910983E-4	4.052027828E-3	-1.519442252E-3
0.49	2.531348327E-4	3.239965507E-3	-7.293172427E-4
0.5	-6.997713909E-4	2.248996613E-3	-1.519442252E-3
0.51	9.602598297E-4	3.869027791E-3	-2.499442264E-3
0.52	-6.038651414E-4	3.140934070E-3	-1.709317254E-3
0.53	9.602598297E-4	3.006965385E-3	-1.614379753E-3
0.54	2.631348262E-4	2.975996688E-3	-1.614379753E-3
0.55	-6.807401721E-4	2.873746694E-3	-3.384504729E-3
0.56	9.892910303E-4	1.959965464E-3	-9.191922401E-4
0.5700000000000001	1.169166041E-3	1.845027828E-3	-1.519442252E-3
0.58	1.168197292E-3	1.825027844E-3	-1.614379753E-3
0.59	2.741035786E-4	9.380279213E-4	1.557450996E-4
0.6	1.872285777E-4	8.340591945E-4	-5.394422585E-4
0.61	1.881973271E-4	1.700090403E-3	-6.343797416E-4
0.62	-6.697714373E-4	9.080278881E-4	-1.519442252E-3
0.63	1.232598216E-4	-6.294080472E-5	-7.293172427E-4
0.64	2.272285784E-4	7.191216433E-4	-1.519442252E-3
0.65	-6.297714144E-4	-6.294080472E-5	1.557450996E-4
0.66	1.542285701E-4	-1.023909506E-3	-1.424504769E-3
0.67	-6.097714041E-4	-1.983909542E-3	-1.614379753E-3
0.68	1.651973270E-4	-2.887220562E-4	-1.614379753E-3
0.6900000000000001	1.134228537E-3	-9.729407490E-4	-7.293172427E-4
0.7000000000000001	3.431348150E-4	-1.933909450E-3	-6.343797416E-4
0.71	2.481973184E-4	-1.990784507E-3	-6.343797416E-4
0.72	1.115197317E-3	-1.968847044E-3	-1.519442252E-3
0.73	3.231348279E-4	-1.921753206E-3	-2.499442264E-3
0.74	1.104228584E-3	-1.013784550E-3	-8.242547438E-4
0.75	-5.448338985E-4	-1.783909518E-3	-6.343797416E-4
0.76	1.020259821E-3	-1.858847044E-3	-6.343797416E-4
0.77	3.141035722E-4	-1.820784441E-3	-1.519442252E-3
0.78	2.272285784E-4	-1.798846960E-3	-7.293172427E-4
0.79	2.281973290E-4	-1.778846994E-3	2.506826007E-4
0.8	2.281973290E-4	-1.749815793E-3	-1.424504769E-3
0.81	2.372285742E-4	-1.719815844E-3	-1.614379753E-3
0.8200000000000001	1.114228568E-3	-1.707878196E-3	-7.293172427E-4
0.8300000000000001	2.075197274E-3	-1.679815726E-3	-6.343797416E-4
0.84	1.423119149E-3	-1.661857423E-3	-6.343797416E-4
0.85	3.168692014E-4	-1.639331420E-3	-6.343797416E-4
0.86	2.072285786E-4	-1.618847080E-3	-6.343797416E-4
0.87	2.081973281E-4	-1.589815711E-3	-6.343797416E-4
0.88	2.172285733E-4	-1.568846978E-3	-1.519442252E-3
0.89	2.181973228E-4	-1.548847012E-3	-7.293172427E-4
0.9	-6.397713997E-4	-1.519815727E-3	-1.519442252E-3
0.91	-7.227714120E-4	-6.228157703E-4	-7.293172427E-4
0.92	1.030259804E-3	-1.393909524E-3	-6.343797416E-4
0.93	1.209166066E-3	-5.837845445E-4	-1.519442252E-3
0.9400000000000001	1.199166083E-3	-4.869095467E-4	-7.293172427E-4
0.9500000000000001	2.065197291E-3	-4.778783120E-4	2.506826007E-4
0.96	3.880723289E-4	3.991216701E-4	-5.394422585E-4
0.97	1.981973334E-4	4.840591837E-4	-6.343797416E-4
0.98	2.072285786E-4	4.650279240E-4	-1.519442252E-3
0.99	2.172285733E-4	4.630904228E-4	1.040807778E-3
1.0	-6.488026343E-4	1.330090380E-3	-4.445047393E-4
1.01	1.342285830E-4	1.405027906E-3	-1.519442252E-3
1.02	2.281973290E-4	1.385027940E-3	-1.614379753E-3
1.03	1.104228584E-3	2.241059166E-3	-7.293172427E-4
1.04	1.189166016E-3	1.429965433E-3	-6.343797416E-4
1.05	1.179166024E-3	2.182027839E-3	-6.343797416E-4
1.06	3.021660730E-4	2.245996624E-3	-6.343797416E-4
1.07	1.991660829E-4	2.215996675E-3	-6.343797416E-4
1.08	2.072285786E-4	3.071059237E-3	2.506826007E-4
1.09	2.172285733E-4	3.117934151E-3	-5.394422585E-4
1.1	-6.397713997E-4	3.067934050E-3	-1.519442252E-3
1.11	1.442285766E-4	3.008902882E-3	-1.614379753E-3
1.12	-6.197713882E-4	2.957934051E-3	-7.293172427E-4
1.1300000000000001	1.642285786E-4	3.802027694E-3	2.506826007E-4
1.1400000000000001	2.672285803E-4	2.980934138E-3	-5.394422585E-4
1.1500000000000001	2.681973309E-4	3.722996579E-3	2.506826007E-4
1.16	-5.988026682E-4	3.758902912E-3	-5.394422585E-4
1.17	1.751973310E-4	4.556871484E-3	-1.519442252E-3
1.18	2.772285866E-4	4.597934209E-3	1.557450996E-4
1.19	2.781973372E-4	3.671902868E-3	3.456200838E-4
1.2	1.154228592E-3	3.536965416E-3	3.456200838E-4
1.21	3.631348321E-4	2.620934209E-3	3.456200838E-4
1.22	2.681973309E-4	4.248059142E-3	3.456200838E-4
1.23	1.135197288E-3	2.635871659E-3	-5.394422585E-4
1.24	3.431348150E-4	3.292027984E-3	2.506826007E-4
1.25	2.481973184E-4	1.594902917E-3	-5.394422585E-4
1.26	1.124228552E-3	1.394059175E-3	2.506826007E-4
1.27	3.331348214E-4	2.251059149E-3	3.456200838E-4
1.28	2.381973237E-4	1.439965416E-3	-5.394422585E-4
1.29	2.381973237E-4	1.325027949E-3	-1.519442252E-3
