Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	5.051100952E-3	3.446345869E-3	-5.747420057E-3
0.01	1.000216287E-2	2.571849380E-4	-4.456535791E-3
0.02	1.305072835E-2	-2.788890215E-3	-4.771329707E-3
0.03	1.532589724E-2	-1.574277398E-3	-5.093031631E-3
0.04	1.461209860E-2	-1.559517293E-4	-4.635335847E-3
0.05	1.222488144E-2	2.581810058E-3	-4.284235716E-3
0.06	1.022797435E-2	4.247779117E-3	-4.656024456E-3
0.07	8.564773639E-3	3.854059382E-3	-4.917272510E-3
0.08	5.811273812E-3	3.189444820E-3	-4.894014007E-3
0.09	1.091411979E-3	3.111838150E-3	-4.460347577E-3
0.1	-3.909369851E-3	3.589879791E-3	-3.957797681E-3
0.11	-8.326837867E-3	3.800955195E-3	-4.713336484E-3
0.12	-1.202053409E-2	2.596427988E-3	-3.636800789E-3
0.13	-1.425293744E-2	-4.519905417E-4	-4.926642703E-3
0.14	-1.495429847E-2	-2.351673144E-3	-3.991320848E-3
0.15	-1.545284172E-2	-3.533231375E-3	-3.311163648E-3
0.16	-1.523996257E-2	-2.115646820E-3	-3.644162967E-3
0.17	-1.500482044E-2	7.693512269E-4	-4.639587095E-3
0.18	-1.277055555E-2	3.110732269E-3	-4.803495931E-3
0.19	-1.055591727E-2	4.157449996E-3	-4.120661937E-3
0.2	-8.746694681E-3	3.563669694E-3	-3.916747344E-3
0.21	-5.081745470E-3	3.341663886E-3	-4.373018466E-3
0.22	-1.123192439E-3	3.254638687E-3	-4.810881124E-3
0.23	1.439625536E-3	2.484137184E-3	-4.941617388E-3
0.24	3.102136788E-3	1.446511716E-3	-4.397351599E-3
0.25	5.137371563E-3	7.475372337E-4	-3.525278924E-3
0.26	7.054243210E-3	-1.318840578E-5	-3.457093122E-3
0.27	8.386792820E-3	-6.057487394E-4	-4.193562787E-3
0.28	1.151238363E-2	-1.275472364E-3	-4.970816796E-3
0.29	1.134457033E-2	4.074330945E-4	-3.964845309E-3
0.3	1.138903196E-2	3.107327315E-3	-3.001791700E-3
0.31	8.848992479E-3	6.266652519E-3	-3.217956197E-3
0.32	7.953792408E-3	6.733489094E-3	-3.605436556E-3
0.33	7.430002639E-3	4.157315063E-3	-3.603146900E-3
0.34	6.620495214E-3	1.153596021E-3	-3.059975157E-3
0.35000000000000003	3.983823030E-3	1.615632738E-4	-3.658633970E-3
0.36	4.223018310E-4	1.446750225E-6	-3.844948401E-3
0.37	-3.125564994E-3	3.337317377E-4	-3.523455475E-3
0.38	-5.556888715E-3	5.440466685E-4	-3.622965164E-3
0.39	-6.393694987E-3	-3.806411875E-4	-3.661497477E-3
0.4	-7.603791057E-3	-1.094464928E-3	-3.907690657E-3
0.41000000000000003	-9.041671567E-3	6.302034870E-4	-4.728867949E-3
0.42	-9.341290223E-3	3.160681610E-3	-3.916695761E-3
0.43	-1.007106748E-2	4.680728109E-3	-3.621020045E-3
0.44	-8.155904697E-3	6.320232543E-3	-3.933518739E-3
0.45	-3.568114884E-3	4.110758630E-3	-3.455144854E-3
0.46	1.040642242E-3	1.167551305E-3	-2.640136689E-3
0.47000000000000003	5.440903453E-3	2.368998170E-4	-3.366918402E-3
0.48	1.025855807E-2	-5.280983335E-4	-3.638482092E-3
0.49	1.405285944E-2	-6.376728685E-4	-2.662547917E-3
0.5	1.693521551E-2	4.065328605E-5	-2.906934347E-3
0.51	1.955406659E-2	9.127485422E-4	-3.973175900E-3
0.52	2.149046779E-2	1.664698816E-3	-3.067233410E-3
0.53	2.188709006E-2	2.464797328E-3	-3.291265929E-3
0.54	2.075890704E-2	3.000390995E-3	-2.243735298E-3
0.55	1.707163593E-2	3.477840878E-3	-2.509678336E-3
0.56	1.337552946E-2	4.771577206E-3	-2.940599531E-3
0.5700000000000001	8.043853146E-3	4.677923116E-3	-2.943331465E-3
0.58	4.886141133E-3	2.494295088E-3	-2.542559919E-3
0.59	1.073575517E-3	5.651566594E-4	-2.969907848E-3
0.6	-1.682084014E-3	-2.015476922E-3	-3.548193917E-3
0.61	-3.842093358E-3	-2.603545981E-3	-2.486097296E-3
0.62	-6.582436987E-3	-5.540075853E-4	-2.964693285E-3
0.63	-8.413640319E-3	2.188002631E-3	-2.826286969E-3
0.64	-8.319595067E-3	2.871867605E-3	-2.234906924E-3
0.65	-7.520972214E-3	1.794526941E-3	-1.726347954E-3
0.66	-6.480564219E-3	1.284172460E-3	-1.637857850E-3
0.67	-5.880280550E-3	2.305218361E-3	-1.840714695E-3
0.68	-6.164319319E-3	3.127075123E-3	-1.681394122E-3
0.6900000000000001	-5.394062263E-3	3.227659576E-3	-1.843639879E-3
0.7000000000000001	-3.510559124E-3	2.149690652E-3	-1.677310814E-3
0.71	5.128836421E-4	4.594388753E-4	-2.138956987E-3
0.72	3.464659120E-3	-1.596057005E-3	-3.120892566E-3
0.73	5.183005175E-3	-1.132352937E-3	-1.997339006E-3
0.74	5.007048649E-3	5.723462433E-4	-1.932055219E-3
0.75	6.954412375E-3	1.905261937E-3	-2.407022900E-3
0.76	8.695426446E-3	3.938265986E-3	-2.375471268E-3
0.77	1.015074548E-2	5.010689328E-3	-1.735552139E-3
0.78	1.075693420E-2	4.602795906E-3	-1.946521881E-3
0.79	1.149354011E-2	3.076655701E-3	-1.906080322E-3
0.8	9.972131716E-3	2.035293344E-3	-1.815183477E-3
0.81	6.890488449E-3	1.109211456E-3	-1.840937595E-3
0.8200000000000001	3.711340334E-3	6.016060105E-4	-2.171904120E-3
0.8300000000000001	2.073124899E-4	4.095166464E-4	-2.221994893E-3
0.84	-3.298044728E-3	-2.070385934E-4	-1.254225790E-3
0.85	-6.505054059E-3	2.877481574E-4	-1.357447624E-3
0.86	-9.736185563E-3	-9.142150921E-4	-8.353542868E-4
0.87	-1.251103632E-2	7.139524797E-4	-6.154024227E-4
0.88	-1.751959430E-2	2.965024524E-3	-3.863187214E-4
0.89	-1.861206061E-2	4.160588470E-3	-1.450979881E-4
0.9	-1.856143105E-2	4.662320212E-3	-1.652955090E-3
0.91	-1.600094648E-2	2.435781004E-3	-2.298452712E-3
0.92	-1.377871117E-2	1.803870298E-4	-1.492975840E-3
0.93	-1.089240275E-2	-8.921544168E-5	-8.694977815E-4
0.9400000000000001	-8.148447643E-3	5.434153480E-4	-1.676130938E-3
0.9500000000000001	-4.994430164E-3	6.676443407E-4	-1.708216011E-3
0.96	-5.891354264E-4	2.803604964E-4	-1.229512321E-3
0.97	4.805159306E-3	1.519539389E-4	-1.014502808E-3
0.98	9.720371364E-3	1.383827107E-4	-1.441700182E-3
0.99	1.214412423E-2	4.833125485E-4	-1.620461060E-3
1.0	1.286645419E-2	2.294505117E-3	-1.071414758E-3
1.01	1.323531380E-2	4.170000779E-3	-1.038910970E-3
1.02	1.366098540E-2	4.691884570E-3	-3.521993844E-4
1.03	1.357287822E-2	3.939614085E-3	-8.105306459E-4
1.04	1.201381549E-2	2.156744216E-3	-1.416711450E-3
1.05	7.720723253E-3	1.204721978E-4	-1.107627830E-3
1.06	5.128674162E-3	2.103426487E-4	-1.889902815E-3
1.07	8.428605840E-4	5.038581462E-4	-9.070449261E-4
1.08	-1.262435831E-3	1.116086460E-3	-5.927364556E-5
1.09	-3.324494100E-3	1.388080811E-3	-1.727667396E-4
1.1	-5.377708551E-3	1.351373480E-3	-3.849180718E-4
1.11	-5.689331396E-3	1.240447672E-3	-7.386198385E-4
1.12	-5.797630836E-3	1.820520654E-3	-4.191943889E-4
1.1300000000000001	-7.001457470E-3	3.028025270E-3	-2.946581265E-4
1.1400000000000001	-8.109163715E-3	3.841083283E-3	-1.714838143E-4
1.1500000000000001	-7.181218662E-3	3.240345968E-3	2.250765166E-4
1.16	-4.240333842E-3	1.456325847E-3	1.164663912E-4
1.17	-1.437916719E-3	-6.313328993E-4	4.100405945E-4
1.18	9.584029393E-4	-1.040592657E-3	5.266152902E-4
1.19	1.709460784E-3	-1.172134288E-3	-3.913180529E-4
1.2	2.508619432E-3	7.172931151E-4	-3.133773235E-4
1.21	4.150881571E-3	1.132589671E-3	-5.789445280E-5
1.22	7.923848996E-3	1.923629925E-3	-2.909217071E-4
1.23	1.321097690E-2	2.082965569E-3	-1.790887058E-4
1.24	1.610944511E-2	1.685606559E-3	-5.694765776E-4
1.25	1.731158330E-2	2.236451478E-3	-7.063762220E-4
1.26	1.759270448E-2	3.436311325E-3	-1.563015217E-4
1.27	1.736289884E-2	4.350669937E-3	-9.940011734E-5
1.28	1.690481491E-2	3.016658358E-3	3.722540672E-4
1.29	1.622892055E-2	6.078365569E-4	-3.425873432E-5
1.3	1.429498221E-2	-6.148702846E-4	-5.259795438E-4
1.31	1.096363922E-2	-3.013843303E-4	9.430636828E-5
1.32	6.969262295E-3	7.816788122E-4	-1.034122957E-3
1.33	2.193114486E-3	2.115928960E-3	-7.638400687E-4
1.34	-1.779247759E-3	2.875490993E-3	1.039999298E-3
1.35	-4.421135998E-3	3.098042750E-3	2.441845435E-3
1.36	-7.975271019E-3	2.966547850E-3	-2.527879118E-5
1.37	-1.035323198E-2	2.872202978E-3	1.045644446E-4
1.3800000000000001	-1.135416101E-2	1.374807810E-3	6.896768940E-5
1.3900000000000001	-1.163088973E-2	1.425862763E-3	5.957869859E-4
1.4000000000000001	-1.091364134E-2	2.105274951E-3	-1.046531725E-4
1.41	-8.621740825E-3	1.662526190E-3	4.727165418E-4
