Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	1.504399835E-3	9.020254512E-4	-5.423597662E-3
0.01	3.216306326E-3	6.320776404E-3	-6.587930944E-3
0.02	2.343154032E-3	6.617462286E-3	-6.977871260E-3
0.03	1.473218758E-3	6.568673292E-3	-4.727209690E-3
0.04	1.120807820E-3	5.475018005E-3	-4.864342526E-3
0.05	8.562495624E-4	3.669530049E-3	-5.867304663E-3
0.06	1.293368665E-3	4.415375677E-3	-6.339211103E-3
0.07	2.111813931E-3	4.751042756E-3	-5.901438959E-3
0.08	2.057800693E-3	3.116064859E-3	-4.966354918E-3
0.09	8.278270500E-4	2.799343542E-4	-4.323223619E-3
0.1	-2.657641495E-4	-2.477542292E-3	-4.431837296E-3
0.11	-9.088602333E-4	-4.276357332E-3	-5.387893505E-3
0.12	-9.453108826E-4	-3.884744288E-3	-5.296101155E-3
0.13	-1.141805209E-4	1.419541282E-3	-4.718236531E-3
0.14	1.388027385E-3	1.245454276E-3	-5.344135041E-3
0.15	2.822168751E-3	3.852639397E-3	-5.659155218E-3
0.16	9.933399246E-4	3.772003044E-3	-5.213255720E-3
0.17	1.027462442E-3	1.619020730E-3	-5.436830380E-3
0.18	6.203633430E-5	2.306116768E-3	-5.996417535E-3
0.19	2.423144323E-4	6.864737097E-3	-5.061105861E-3
0.2	-7.887933546E-4	4.108075784E-3	-4.746896830E-3
0.21	2.259210497E-4	1.560517414E-3	-4.185555020E-3
0.22	2.509501643E-4	1.194591321E-3	-4.829641474E-3
0.23	7.089116531E-4	2.052001788E-3	-5.385537061E-3
0.24	2.387192832E-3	2.901794727E-3	-4.918836774E-3
0.25	1.486138625E-3	2.244618855E-3	-5.180054338E-3
0.26	9.512594592E-4	1.115331810E-3	-5.201144064E-3
0.27	3.965722421E-4	-1.303873312E-3	-5.542155677E-3
0.28	7.240521479E-4	-1.064039197E-3	-5.659923896E-3
0.29	-1.178670858E-3	-4.690695376E-4	-5.089923364E-3
0.3	-2.192004331E-4	-4.012011215E-3	-3.816746094E-3
0.31	1.218353516E-3	9.803232907E-4	-4.390727062E-3
0.32	2.112825901E-3	3.974108398E-3	-4.997894597E-3
0.33	2.097654036E-3	5.288699579E-3	-5.212822444E-3
0.34	8.606031273E-4	3.853648578E-3	-4.956566059E-3
0.35000000000000003	-2.602323945E-4	-2.818735960E-4	-4.875153936E-3
0.36	-3.085063759E-4	-1.538575110E-3	-4.920628896E-3
0.37	5.538145115E-4	2.465867692E-3	-4.195633691E-3
0.38	2.083381009E-3	7.524869374E-3	-4.161886679E-3
0.39	3.625843391E-3	8.045503171E-3	-4.590501406E-3
0.4	3.505456190E-3	4.704034284E-3	-3.574144580E-3
0.41000000000000003	2.131386742E-3	5.553474043E-4	-3.147057914E-3
0.42	6.185530196E-4	-3.791097831E-3	-2.777422900E-3
0.43	-3.360809953E-4	-2.363257133E-3	-2.956788988E-3
0.44	-2.932071711E-4	6.885269899E-3	-5.258501640E-3
0.45	2.302491816E-3	7.677690797E-3	-3.915517042E-3
0.46	1.787605706E-3	5.797836278E-3	-2.807093092E-3
0.47000000000000003	1.300414114E-3	2.008146097E-3	-4.112486211E-3
0.48	-2.381243431E-4	-1.068124692E-3	-4.696339129E-3
0.49	1.116422933E-3	-2.554657627E-3	-3.732912078E-3
0.5	1.380042131E-3	-1.409374302E-3	-4.377987654E-3
0.51	1.279066027E-3	9.948885988E-5	-4.109331723E-3
0.52	1.308122590E-3	2.329614537E-3	-4.934798015E-3
0.53	1.079003263E-3	4.520538678E-3	-4.799662327E-3
0.54	9.397460856E-5	2.989008348E-3	-4.676930323E-3
0.55	-6.884084806E-4	3.426593342E-4	-4.871806242E-3
0.56	-6.166776140E-4	9.283662596E-5	-4.269893735E-3
0.5700000000000001	-1.856140304E-4	4.914579811E-4	-3.973985952E-3
0.58	1.384686977E-3	-4.764487403E-4	-4.173799866E-3
0.59	2.746300609E-3	1.096590272E-3	-3.782472873E-3
0.6	2.895223662E-3	2.202790790E-3	-3.013544721E-3
0.61	1.023634055E-3	-1.953632184E-4	-3.518518562E-3
0.62	2.469653476E-4	1.210398277E-3	-3.269724218E-3
0.63	7.359762733E-5	4.929339006E-3	-2.927008738E-3
0.64	-1.402971745E-4	4.041078771E-3	-3.104749377E-3
0.65	1.612270651E-3	7.102442266E-3	-4.032020428E-3
0.66	1.334333997E-3	7.988129239E-3	-3.844960394E-3
0.67	1.126043543E-3	5.706577458E-3	-2.955399269E-3
0.68	1.259962578E-3	3.426575577E-3	-2.375674882E-3
0.6900000000000001	1.002189158E-3	5.100944706E-4	-2.980383889E-3
0.7000000000000001	7.714545987E-6	-4.195188980E-3	-3.462742478E-3
0.71	-7.944878372E-4	-6.331110066E-3	-2.851098367E-3
0.72	5.610096671E-4	-2.538531548E-3	-2.502293197E-3
0.73	2.226634675E-3	-3.909248143E-6	-2.739045870E-3
0.74	2.450976882E-3	3.489488178E-3	-2.829176362E-3
0.75	1.997888470E-3	7.740657630E-3	-3.251359915E-3
0.76	1.191919398E-3	7.836856668E-3	-3.906741164E-3
0.77	-6.149472457E-4	3.436048378E-3	-3.455595342E-3
0.78	-8.318587409E-4	7.084029080E-3	-3.060444716E-3
0.79	1.248949363E-3	7.390504135E-3	-2.335922056E-3
0.8	2.669479323E-3	8.102133698E-3	-3.207139502E-3
0.81	2.789894957E-3	9.117427794E-3	-2.986621565E-3
0.8200000000000001	1.067457421E-3	-1.705370423E-4	-2.345290913E-3
0.8300000000000001	-2.170141456E-4	-5.994333942E-3	-2.492721507E-3
0.84	-5.095129750E-4	-6.695681787E-3	-2.044751959E-3
0.85	-8.236115390E-4	-8.855910182E-3	-1.561337160E-3
0.86	-9.595956985E-4	-1.082934076E-2	-2.083400832E-3
0.87	4.942496235E-4	-5.449025173E-3	-2.467992338E-3
0.88	2.424949306E-3	-1.350822026E-3	-2.411918831E-3
0.89	2.978801489E-3	-2.688887000E-3	-2.015692802E-3
0.9	1.102381710E-3	1.714254444E-3	-1.893818377E-3
0.91	-6.235335175E-4	6.135994885E-3	-2.646878072E-3
0.92	4.653165329E-4	1.220744565E-2	-3.388456670E-3
0.93	1.631315703E-3	2.358924191E-2	-4.795613667E-3
0.9400000000000001	1.822893809E-3	2.355613932E-2	-3.380023923E-3
