Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	3.258201891E-3	5.823381306E-3	-3.887953514E-3
0.01	1.387442637E-3	9.678597099E-3	-4.958015951E-3
0.02	2.709787781E-3	9.474717200E-3	-4.334991888E-3
0.03	3.663491527E-3	6.096510254E-3	-3.733078515E-3
0.04	3.630817001E-3	3.857084006E-3	-4.657022510E-3
0.05	2.759892490E-3	-1.821017408E-3	-4.054667370E-3
0.06	2.204521964E-3	-6.888441136E-3	-3.360824734E-3
0.07	1.999410535E-3	-8.862851947E-3	-3.315019622E-3
0.08	1.810598358E-3	-7.676280182E-3	-3.603806848E-3
0.09	2.063792717E-3	-4.187538773E-3	-3.450324399E-3
0.1	3.106140937E-3	1.695258053E-3	-3.369749193E-3
0.11	4.013172420E-3	7.374548949E-3	-3.840685219E-3
0.12	4.258749834E-3	1.221471993E-2	-4.354068782E-3
0.13	4.184343431E-3	1.316147775E-2	-4.445877648E-3
0.14	3.653502948E-3	1.100296059E-2	-5.388476578E-3
0.15	1.652170042E-3	2.744275479E-3	-4.156173361E-3
0.16	2.329557234E-3	1.252877217E-3	-4.382891653E-3
0.17	1.345713848E-3	-5.681800983E-4	-3.902353997E-3
0.18	1.977901652E-3	-5.367644071E-3	-4.720759846E-3
0.19	1.122102973E-3	-4.508475705E-3	-5.063435871E-3
0.2	1.515028919E-3	-3.018549839E-3	-3.715939559E-3
0.21	1.914884668E-3	-1.054481268E-3	-3.951468872E-3
0.22	1.975915287E-3	3.157187973E-3	-4.299672338E-3
0.23	1.738857915E-3	6.225553814E-3	-4.205015124E-3
0.24	1.096029556E-3	5.987164892E-3	-4.655286936E-3
0.25	4.282734373E-4	6.792711540E-3	-4.777274908E-3
0.26	5.164085081E-4	5.771004690E-3	-3.988809897E-3
0.27	7.529095202E-4	3.777774856E-3	-4.240336174E-3
0.28	2.139851596E-3	2.771435828E-3	-4.084797308E-3
0.29	2.847450436E-3	-4.055775197E-4	-3.360848345E-3
0.3	2.862876098E-3	-3.308396635E-3	-4.445857726E-3
0.31	2.123271373E-3	-3.114808660E-3	-4.124195916E-3
0.32	1.324313216E-3	-3.997969011E-3	-3.833482093E-3
0.33	1.031085194E-3	-3.920287665E-3	-3.643709769E-3
0.34	1.247810997E-3	-8.207231056E-5	-3.000144931E-3
0.35000000000000003	1.935474911E-3	4.628709499E-3	-2.622572381E-3
0.36	2.528771283E-3	6.696241467E-3	-3.407739897E-3
0.37	2.673210185E-3	8.272475427E-3	-4.155420361E-3
0.38	3.108527467E-3	9.319375209E-3	-3.943166021E-3
0.39	3.048363737E-3	7.018094985E-3	-3.245157130E-3
0.4	2.463201555E-3	4.054774432E-3	-2.144210689E-3
0.41000000000000003	2.005650454E-3	-6.840860494E-4	-3.266293848E-3
0.42	1.792807043E-3	-5.081675889E-3	-3.544779117E-3
0.43	2.557073699E-3	-7.302600618E-3	-2.377759568E-3
0.44	3.324281835E-3	-7.536264821E-3	-3.308501000E-3
0.45	3.161396879E-3	-7.337899066E-3	-2.135334844E-3
0.46	3.752424962E-3	-3.186013179E-3	-2.652630532E-3
