Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)
0.0	-2.293855024E-3	2.360075861E-3	4.798942536E-4
0.01	-2.293855024E-3	2.360075861E-3	4.798942536E-4
0.02	-1.526449772E-4	1.447112752E-4	1.379017138E-3
0.03	8.342375535E-4	1.634471230E-3	5.283644230E-4
0.04	7.192751010E-4	2.843270652E-3	-4.386191425E-4
0.05	5.368843378E-4	2.901865605E-3	-5.007023930E-4
0.06	-2.550925771E-4	3.455413122E-3	-4.906932740E-4
0.07	-8.686050579E-4	3.170050811E-3	-4.806932910E-4
0.08	-6.403050663E-4	1.606425816E-3	-4.706933080E-4
0.09	2.012233987E-4	-2.049749485E-4	1.346920990E-3
0.1	-4.203006338E-4	-8.665124841E-4	-3.625685019E-4
0.11	-1.066255088E-3	-2.104724065E-3	1.364744055E-3
0.12	-1.249550870E-4	-2.499949045E-3	-1.296793297E-3
0.13	1.235069898E-3	-2.444624172E-3	-5.570932597E-4
0.14	3.149260671E-4	-2.384300833E-3	-5.001057580E-4
0.15	1.818277719E-4	-2.470452678E-3	3.780211998E-4
0.16	1.309886608E-4	-1.766455397E-3	-4.151682580E-4
0.17	8.098866105E-5	-1.914292097E-5	-1.395168252E-3
0.18	5.808241221E-5	7.471070469E-4	-6.050432422E-4
0.19	4.711366256E-5	9.365133312E-4	-2.280230762E-3
0.2	-6.041050762E-4	2.006731972E-3	-6.909495086E-4
0.21	-6.738550750E-4	3.005138221E-3	-1.385168269E-3
0.22	-6.738550750E-4	3.091044656E-3	-2.365168280E-3
0.23	2.021761587E-4	3.090075925E-3	-1.575043271E-3
0.24	2.961449070E-4	3.090075925E-3	-1.480105770E-3
0.25	1.172176141E-3	2.205013247E-3	-1.480105770E-3
0.26	1.266144889E-3	3.489820672E-4	-1.480105770E-3
0.27	2.133144930E-3	-2.477049025E-3	-2.365168280E-3
0.28	4.469886580E-4	-2.741861540E-3	-2.460105781E-3
0.29	-6.198863077E-4	-3.624986722E-3	-1.575043271E-3
0.3	1.531449034E-4	-3.701861435E-3	-1.480105770E-3
0.31	-6.208550583E-4	-4.566924112E-3	-1.480105770E-3
0.32	-1.589886372E-3	-3.756798986E-3	-1.480105770E-3
0.33	-7.987925763E-4	-4.526924180E-3	-1.480105770E-3
0.34	-1.579886220E-3	-5.468861606E-3	-1.480105770E-3
0.35000000000000003	8.723867958E-5	-3.762705202E-3	-2.365168280E-3
0.36	1.152176172E-3	-3.551861468E-3	-1.575043271E-3
0.37	2.113144796E-3	-2.646799159E-3	-1.480105770E-3
0.38	1.312051121E-3	-7.707678819E-4	-2.374199515E-3
0.39	3.310824019E-4	2.961070649E-4	-6.909495086E-4
0.4	1.112176148E-3	3.991070854E-4	-5.001057580E-4
0.41000000000000003	-1.430980080E-3	4.091070729E-4	-5.001057580E-4
0.42	4.723865589E-5	-1.341986646E-3	-2.279262014E-3
0.43	2.361449041E-4	-2.378861631E-3	-2.470105764E-3
0.44	-1.506886360E-3	-3.318861701E-3	-2.470105764E-3
0.45	-8.087925593E-4	-3.391861740E-3	-6.909495086E-4
0.46	1.531449034E-4	-4.238861646E-3	-1.385168269E-3
0.47000000000000003	-6.208550583E-4	-4.311861667E-3	-5.950432591E-4
0.48	1.914238564E-3	-5.149830171E-3	-1.394199503E-3
0.49	2.178082330E-3	-3.442705337E-3	-1.490105753E-3
0.5	2.158082364E-3	-3.222830236E-3	-1.490105753E-3
0.51	1.262051122E-3	-2.316799161E-3	-1.490105753E-3
0.52	1.148082403E-3	-1.325830352E-3	-1.490105753E-3
0.53	2.610824066E-4	-3.448616463E-4	-6.050432422E-4
0.54	-7.098862956E-4	1.502138379E-3	-5.101057410E-4
0.55	-7.948238058E-4	2.557075755E-3	-5.101057410E-4
0.56	-7.938550575E-4	2.632013272E-3	-5.101057410E-4
0.5700000000000001	8.217616581E-5	1.735982030E-3	-5.101057410E-4
0.58	1.043144923E-3	1.622013311E-3	-1.395168252E-3
0.59	2.510824131E-4	-1.008017845E-3	-6.050432422E-4
0.6	1.023144869E-3	-3.032955234E-3	-5.101057410E-4
0.61	1.107113630E-3	-3.201861504E-3	3.749566012E-4
0.62	1.973144839E-3	-3.172830471E-3	4.698940843E-4
0.63	2.039051130E-3	-3.133799137E-3	-1.300230768E-3
0.64	1.142051140E-3	-1.341736635E-3	-6.050432422E-4
0.65	2.448286018E-4	-1.918864077E-3	-1.303327953E-3
0.66	-7.986774611E-4	-3.546617559E-4	-6.174745415E-4
0.67	-8.857925876E-4	2.479138251E-3	-1.395168252E-3
0.68	-8.838550908E-4	3.609013313E-3	-6.050432422E-4
0.6900000000000001	-8.657925374E-4	5.397950628E-3	-1.395168252E-3
0.7000000000000001	1.217616530E-5	6.383857006E-3	-1.490105753E-3
0.71	9.641136268E-4	6.388794491E-3	-1.490105753E-3
0.72	1.047113639E-3	6.325887994E-3	-6.050432422E-4
0.73	1.520511602E-4	4.459638100E-3	-2.280230762E-3
0.74	9.412074077E-4	2.462857057E-3	-6.999807433E-4
0.75	-7.249487950E-4	1.366950848E-3	-1.395168252E-3
0.76	8.382074277E-4	-4.819866592E-4	-6.050432422E-4
0.77	-1.601948735E-3	2.061070736E-4	3.839880041E-4
0.78	-9.897613143E-4	-1.442955327E-3	-1.299262002E-3
0.79	-1.751823796E-3	-3.345861511E-3	-1.490105753E-3
0.8	-9.407300635E-4	-1.732705364E-3	-1.490105753E-3
0.81	3.217616287E-5	-6.458303807E-4	-1.490105753E-3
0.8200000000000001	1.002176150E-3	3.170758258E-4	-5.960120075E-4
0.8300000000000001	2.110824090E-4	2.144075735E-3	-1.394199503E-3
0.84	1.161449101E-4	3.169982063E-3	-1.490105753E-3
0.85	9.831449302E-4	3.223950884E-3	-5.960120075E-4
0.86	1.910824114E-4	5.830106912E-3	3.849567525E-4
0.87	-7.708550374E-4	4.294794612E-3	-4.051682569E-4
0.88	-8.457925624E-4	4.054919544E-3	-5.001057580E-4
0.89	3.217616287E-5	4.004919443E-3	-5.001057580E-4
0.9	-1.625917594E-3	3.069856999E-3	-5.001057580E-4
0.91	-5.276133948E-5	1.190919585E-3	-5.001057580E-4
0.92	1.361449110E-4	-1.609955431E-3	-1.385168269E-3
0.93	1.361449110E-4	-3.605861460E-3	-5.950432591E-4
0.9400000000000001	1.012176134E-3	-3.744767931E-3	-5.001057580E-4
0.9500000000000001	1.088082412E-3	-2.818736590E-3	-5.001057580E-4
0.96	1.077113681E-3	-3.559830414E-3	-5.001057580E-4
0.97	1.934113655E-3	-3.604767832E-3	-5.001057580E-4
0.98	-6.109800762E-4	-3.572830200E-3	3.849567525E-4
0.99	8.582073937E-4	-2.639705253E-3	-1.299262002E-3
1.0	1.037113656E-3	-7.607678809E-4	1.174112845E-3
1.01	1.510824118E-4	-5.608929092E-4	-3.192620085E-4
1.02	-8.018238252E-4	3.070758383E-4	-1.395168252E-3
1.03	-8.757926045E-4	1.267075795E-3	-1.490105753E-3
